hvCpG_name controlCpG_name
cg02539153 cg09832911
cg02541444 cg03178609
cg02560085 cg08409173
cg02567750 cg05168062
cg02574844 cg02771673
cg02583091 cg07213202
cg02585329 cg11504264
cg02591356 cg05641849
cg02599361 cg06792911
cg02616786 cg00896370
cg02639931 cg05832925
cg02675527 cg07224310
cg02707854 cg05874233
cg02737384 cg01152624
cg02754945 cg11496778
cg02795334 cg00333528
cg02852959 cg03778138
cg02860705 cg01028140
cg02883668 cg13122448
cg02886208 cg12491688
cg02891314 cg05131266
cg02910054 cg02502849
cg02918557 cg06497934
cg02931604 cg11519260
cg02959988 cg08111922
cg02963119 cg11915388
cg03009158 cg06928797
cg03035115 cg11405475
cg03042477 cg10228500
cg03097147 cg05052969
cg03110795 cg12918895
cg03116837 cg12283302
cg03147592 cg08160641
cg03151810 cg08701675
cg03179435 cg08291342
cg03213289 cg10789314
cg03217880 cg00629427
cg03235661 cg05660874
cg03287299 cg07247998
cg03288922 cg08382072
cg03352173 cg03530925
cg03396347 cg08476055
cg03404566 cg10443421
cg03407747 cg05419198
cg03433313 cg13435795
cg03453431 cg09053907
cg03472888 cg08756735
cg03494429 cg12920004
cg03511628 cg11132536
cg03568507 cg10877315
cg03590420 cg03185144
cg03605463 cg10478237
cg03613822 cg06862949
cg03638120 cg12173498
cg03648020 cg06086731
cg03671052 cg06676049
cg03672997 cg08193681
cg03682112 cg04411044
cg03691822 cg04703318
cg03716984 cg12646794
cg03731646 cg00459116
cg03736781 cg06132876
cg03745383 cg05750029
cg03759229 cg11598403
cg03775991 cg08117800
cg03781731 cg04535236
cg03848129 cg09802389
cg03877420 cg09262442
cg03887787 cg10192079
cg03898365 cg05369327
cg03936135 cg02691035
cg03942599 cg06647332
cg03950599 cg03192897
cg03972071 cg00611901
cg03995300 cg07633702
cg03999872 cg02699898
cg04001333 cg02825211
cg04015962 cg07067993
cg04021544 cg03293732
cg04034577 cg07936489
cg04043455 cg11576123
cg04053776 cg06399735
cg04063615 cg06370069
cg04074153 cg10825234
cg04103251 cg00753287
cg04111992 cg04036182
cg04131969 cg03400139
cg04155289 cg07683388
cg04198914 cg07436701
cg04255230 cg06686742
cg04258219 cg03640110
cg04300684 cg00522883
cg04352168 cg07210123
cg04353106 cg07484739
cg04370829 cg10754510
cg04387835 cg10755058
cg04393339 cg13168012
cg04471151 cg00962304
cg04484415 cg10092957
cg04487205 cg04514998
cg04517722 cg13186130
cg04579398 cg10820158
cg04634427 cg00062776
cg04653913 cg10230190
cg04671734 cg07495314
cg04672622 cg06335889
cg04672903 cg02827278
cg04673462 cg03220543
cg04692870 cg04816803
cg04707706 cg09684381
cg04716996 cg11444332
cg04727522 cg10528484
cg04794430 cg05025164
cg04816171 cg09862219
cg04838249 cg00837619
cg04846574 cg06818377
cg04850286 cg07123730
cg04862340 cg04602284
cg04876069 cg13467162
cg04972046 cg00636372
cg04985582 cg11671771
cg04996195 cg04602939
cg05014721 cg07505433
cg05017628 cg08946731
cg05041596 cg08599672
cg05056638 cg00368636
cg05079544 cg03032607
cg05132077 cg11503661
cg05156901 cg08785784
cg05180451 cg04004882
cg05180717 cg03231596
cg05185784 cg11137578
cg05194426 cg06242599
cg05200811 cg09550809
cg05211868 cg11445324
cg05213296 cg05627138
cg05251669 cg11859982
cg05265884 cg05377034
cg05266226 cg03479535
cg05275595 cg10593994
cg05283184 cg07071426
cg05295566 cg09308536
cg05313918 cg10026317
cg05364038 cg06824157
cg05374025 cg00021532
cg05384724 cg07493874
cg05393023 cg08662052
cg05463589 cg05970811
cg05491587 cg04699272
cg05495478 cg09873164
cg05509609 cg10042532
cg05528899 cg13258453
cg05545777 cg08412316
cg05589784 cg03744043
cg05590257 cg08690241
cg05627947 cg04939302
cg05650719 cg07450214
cg05662444 cg00664454
cg05670004 cg00274815
cg05683630 cg06315217
cg05713954 cg10535500
cg05717871 cg09347959
cg05725404 cg03495768
cg05766510 cg11143953
cg05768032 cg04311557
cg05779406 cg10124710
cg05865280 cg05598010
cg05876425 cg11477892
cg05895034 cg10958126
cg05903289 cg00525964
cg05912299 cg13318543
cg05927817 cg05812582
cg05979241 cg04883269
cg05988645 cg03596678
cg05991492 cg03101413
cg05996213 cg10272492
cg06001716 cg00689612
cg06018119 cg13478289
cg06054159 cg03880642
cg06061081 cg08696470
cg06067394 cg13390004
cg06108461 cg01077185
cg06132400 cg06824394
cg06150803 cg08043592
cg06159404 cg09787311
cg06161550 cg07864883
cg06207961 cg12894711
cg06221963 cg06055249
cg06223162 cg05835346
cg06241208 cg04012535
cg06295223 cg07336426
cg06351537 cg11743349
cg06360820 cg10395519
cg06395298 cg03874542
cg06416764 cg05908241
cg06477663 cg00316875
cg06507634 cg11178920
cg06508738 cg00846554
cg06513375 cg11058904
cg06524264 cg06907053
cg06546677 cg09740468
cg06556497 cg13092355
cg06557421 cg10634115
cg06565913 cg06694239
cg06570358 cg06707910
cg06574296 cg00925087
cg06584218 cg11323506
cg06588556 cg00518276
cg06593753 cg10828904
cg06612196 cg09196257
cg06636551 cg07858195
cg06657917 cg06077899
cg06667732 cg03633268
cg06669374 cg10153082
cg06675417 cg08386832
cg06679334 cg05927789
cg06680906 cg07158881
cg06699195 cg12743638
cg06713675 cg03959186
cg06737308 cg05666130
cg06749524 cg08349108
cg06800231 cg00440980
cg06805348 cg13375538
cg06808011 cg12043145
cg06821828 cg12729894
cg06834998 cg00055555
cg06851207 cg08999896
cg06867482 cg07593523
cg06873352 cg07089942
cg06877486 cg12159577
cg06888460 cg09423283
cg06889571 cg09307412
cg06900216 cg12297066
cg06917450 cg04756594
cg06935979 cg12190322
cg06976144 cg04131405
cg07019386 cg06496272
cg07025785 cg03895159
cg07030516 cg09379755
cg07076816 cg05222243
cg07092029 cg11752152
cg07110009 cg07630816
cg07128416 cg06412669
cg07138994 cg09815769
cg07157834 cg10848252
cg07167872 cg00685853
cg07212818 cg06019763
cg07216884 cg08915632
cg07238058 cg09117405
cg07241909 cg12822818
cg07244098 cg00225858
cg07257824 cg09068447
cg07264025 cg07685557
cg07285237 cg03859792
cg07314298 cg05516537
cg07341007 cg05906530
cg07366506 cg02825630
cg07381391 cg07439618
cg07403350 cg10228857
cg07404485 cg05578595
cg07427475 cg09394785
cg07434457 cg08743896
cg07502417 cg02873098
cg07516511 cg00874230
cg07529122 cg10409302
cg07552315 cg07530063
cg07557707 cg07021288
cg07563363 cg09038926
cg07599136 cg08994060
cg07600533 cg08563601
cg07602195 cg00375444
cg07612827 cg04368076
cg07615111 cg12055220
cg07620230 cg07618085
cg07645761 cg07811644
cg07661965 cg10089801
cg07671678 cg11395890
cg07673080 cg07291417
cg07716408 cg07739215
cg07722678 cg03999130
cg07737560 cg06502279
cg07745596 cg04945076
cg07747299 cg10628015
cg07752120 cg08324115
cg07752409 cg06248406
cg07759801 cg06872257
cg07895657 cg06120399
cg07926092 cg02782426
cg07937631 cg05972216
cg07971089 cg03543954
cg07973095 cg06480171
cg07977614 cg04768970
cg08005660 cg09007290
cg08015278 cg12093241
cg08017634 cg07416107
cg08025464 cg07929768
cg08031492 cg11712482
cg08035479 cg03441853
cg08045932 cg07612655
cg08048268 cg05887270
cg08064292 cg10864794
cg08085267 cg07501052
cg08103988 cg10525432
cg08121117 cg08856420
cg08124030 cg00818680
cg08133631 cg08467866
cg08153404 cg05224015
cg08180572 cg07721852
cg08202144 cg09963123
cg08223357 cg03446427
cg08242633 cg07408779
cg08260052 cg08767838
cg08274176 cg09158821
cg08277548 cg00575665
cg08288433 cg06019050
cg08289130 cg07172701
cg08330435 cg11847933
cg08381620 cg07044115
cg08382737 cg05847075
cg08418111 cg12479098
cg08450021 cg11052259
cg08476511 cg07978591
cg08493051 cg03626672
cg08506606 cg07305719
cg08551532 cg01032119
cg08560373 cg09396234
cg08594936 cg09137382
cg08610426 cg06091934
cg08627397 cg04454073
cg08670281 cg07398839
cg08675364 cg05132150
cg08681685 cg03325633
cg08687025 cg09981914
cg08721802 cg05307923
cg08739651 cg13387113
cg08742575 cg08586669
cg08750459 cg03810769
cg08804111 cg04306507
cg08818829 cg04989706
cg08835755 cg00910015
cg08835956 cg09318169
cg08842287 cg13459393
cg08851727 cg10753966
cg08871608 cg07188523
cg08886301 cg02997755
cg08923669 cg12231246
cg08962081 cg02838089
cg08996805 cg06433985
cg09002919 cg09232269
cg09005971 cg07110043
cg09033333 cg12465710
cg09035930 cg11742688
cg09053247 cg09069577
cg09117448 cg05885484
cg09150559 cg00232105
cg09153895 cg01103827
cg09163005 cg07401378
cg09163369 cg06935361
cg09180702 cg08213792
cg09219402 cg02649698
cg09285851 cg05898907
cg09300795 cg06033387
cg09314196 cg09331144
cg09320662 cg06259934
cg09332960 cg05298696
cg09351881 cg05183927
cg09359103 cg09001356
cg09365446 cg07266910
cg09367266 cg06787422
cg09374293 cg04824913
cg09381666 cg05928581
cg09386376 cg12307092
cg09395805 cg08337420
cg09396704 cg03183004
cg09408571 cg00380904
cg09435890 cg08036309
cg09447675 cg05793240
cg09455274 cg02781088
cg09495303 cg00934120
cg09496634 cg10246903
cg09506675 cg02774282
cg09512891 cg03066788
cg09540102 cg04997045
cg09552652 cg05306310
cg09582351 cg09661951
cg09584650 cg00933835
cg09586646 cg10792987
cg09601159 cg04763273
cg09602803 cg00773978
cg09619624 cg06769377
cg09626521 cg04442406
cg09628704 cg11065271
cg09640425 cg03886558
cg09690449 cg12418947
cg09737019 cg11922086
cg09739413 cg03467047
cg09745688 cg08354406
cg09759458 cg03919488
cg09777637 cg11605903
cg09817162 cg09756225
cg09826364 cg09547625
cg09883286 cg08697116
cg09884451 cg05448032
cg09888468 cg03284308
cg09894276 cg09230905
cg09933458 cg10686304
cg09953520 cg10327756
cg09955645 cg08655800
cg09973514 cg06787397
cg09974661 cg06518271
cg09976142 cg12741441
cg09978860 cg04242396
cg10016788 cg11703745
cg10047845 cg03732007
cg10057126 cg08958168
cg10070864 cg11766498
cg10071929 cg01033356
cg10090844 cg12432006
cg10104252 cg05255168
cg10110474 cg02587405
cg10143960 cg07959070
cg10173694 cg07059784
cg10210594 cg10242318
cg10225865 cg09071896
cg10257302 cg02784780
cg10279314 cg05047521
cg10296238 cg04222084
cg10315903 cg10913846
cg10356759 cg08453903
cg10356904 cg00315563
cg10440639 cg02577394
cg10455971 cg03537942
cg10463207 cg04635642
cg10502220 cg02826890
cg10516993 cg13260148
cg10517650 cg03417191
cg10519437 cg05716350
cg10553748 cg00592593
cg10589385 cg08197105
cg10602537 cg00002190
cg10622551 cg13001878
cg10667338 cg05104080
cg10676327 cg11792786
cg10687087 cg07394955
cg10714510 cg04581728
cg10742917 cg08183407
cg10828284 cg07682663
cg10831901 cg12321193
cg10854819 cg13044675
cg10862468 cg09167911
cg10871120 cg00419604
cg10875695 cg10271880
cg10881764 cg05603546
cg10932486 cg04113258
cg10963061 cg05892930
cg10987071 cg09540738
cg10995755 cg10141789
cg11002686 cg00729264
cg11030744 cg06484232
cg11055991 cg10902367
cg11061422 cg11544647
cg11071193 cg03216846
cg11072645 cg07136635
cg11074933 cg05115375
cg11094568 cg07089660
cg11103390 cg09654471
cg11123440 cg07523784
cg11146691 cg00981945
cg11168104 cg04452896
cg11174255 cg06958216
cg11229771 cg00591895
cg11229864 cg00769843
cg11240062 cg03531853
cg11256152 cg08586913
cg11309454 cg07869434
cg11321181 cg10852096
cg11335335 cg11141696
cg11336860 cg04553810
cg11342198 cg07371413
cg11360755 cg00701493
cg11382082 cg02828104
cg11388673 cg11347139
cg11440486 cg08643646
cg11445109 cg03012028
cg11445191 cg05392577
cg11480278 cg09662930
cg11510586 cg06014092
cg11519983 cg07784293
cg11556592 cg06834689
cg11557463 cg11830605
cg11586189 cg08743050
cg11595575 cg10137010
cg11628972 cg00324520
cg11715858 cg10248100
cg11737298 cg07144730
cg11747462 cg06908244
cg11766577 cg12594803
cg11775292 cg07656922
cg11779808 cg03830181
cg11783602 cg13136721
cg11787508 cg05539515
cg11791577 cg13172359
cg11799593 cg08480098
cg11821245 cg07234199
cg11872743 cg06757935
cg11940040 cg11231701
cg11945929 cg07262244
cg11965913 cg03859395
cg12003941 cg04384123
cg12031962 cg04637372
cg12033622 cg06092729
cg12064134 cg00552753
cg12075247 cg08250921
cg12078775 cg12705353
cg12081754 cg03895047
cg12133451 cg07142377
cg12156287 cg08742833
cg12159023 cg05472059
cg12169661 cg06062187
cg12193833 cg01020427
cg12194929 cg10435235
