ME_CpG_names SoC_CpG_names ESS_SIV_CpG_names
cg13211302 cg15147693 cg04398416
cg10596483 cg07138355 cg06309629
cg02530860 cg15379240 cg16260126
cg06452769 cg02246609 cg07639198
cg14234406 cg01309870 cg04683516
cg26963250 cg04626491 cg19882857
cg14859691 cg09470274 cg22851864
cg05963597 cg15967709 cg11103390
cg15206067 cg20839206 cg00387524
NA cg22121557 cg25858261
NA cg10582827 cg12390516
NA cg23110482 cg14299044
NA cg11320544 cg14240646
NA cg24475275 cg15469871
NA cg26668675 cg03848129
NA cg03078486 cg25705717
NA cg26818629 cg02402587
NA cg09357589 cg03816081
NA cg11811828 cg18868178
NA cg21370522 cg12196389
NA cg23509869 cg17481476
NA cg02717251 cg00561194
NA cg13961400 cg24602309
NA cg22098742 cg15257565
NA cg02880898 cg16449687
NA cg19886087 cg27119456
NA cg09566131 cg24527560
NA cg01771651 cg24598948
NA cg20198611 cg24714864
NA cg14232091 cg01485177
NA cg03078690 cg10581256
NA cg24676740 cg03180457
NA cg23006805 cg24494556
NA cg24950709 cg10001458
NA cg13054323 cg17437770
NA cg03095087 cg16171213
NA cg18796027 cg06159404
NA cg01628905 cg25888561
NA cg00106093 cg26132114
NA cg02963689 cg24530234
NA cg26063721 cg02113055
NA cg07912161 cg24591913
NA cg23737190 cg08860011
NA cg24661236 cg03716984
NA cg11523799 cg22705835
NA cg14920286 cg05772155
NA cg22827864 cg18009000
NA cg16115513 cg01322555
NA cg01652244 cg16178415
NA cg15414745 cg09981929
NA cg23414861 cg00169964
NA cg02931604 cg07718471
NA cg12045875 cg00167275
NA cg16143502 cg03269218
NA cg17870270 cg25604594
NA cg12024822 cg12715136
NA cg07699307 cg09797202
NA cg27451362 cg27052069
NA cg07970325 cg18171204
NA cg10890829 cg13267776
NA cg25608547 cg06749524
NA cg11938738 cg00817464
NA cg07720926 cg26077897
NA cg23280720 cg18699744
NA cg25991026 cg17198722
NA cg00004963 cg24508426
NA cg07875215 cg00502035
NA cg08929197 cg20250269
NA cg07054247 cg07906193
NA cg02042585 cg09127448
NA cg09428340 cg17686260
NA cg00056541 cg07366506
NA cg19001113 cg27102141
NA cg23192346 cg06406026
NA cg14670303 cg11372818
NA cg07598357 cg12765123
NA cg27495951 cg00722041
NA cg24710073 cg23771949
NA cg27061377 cg27286337
NA cg12057156 cg12319143
NA cg00612202 cg22716280
NA cg04486919 cg24680439
NA cg16688681 cg02276826
NA cg01587630 cg11461825
NA cg13002945 cg24668570
NA cg24757553 cg27332938
NA cg08164294 cg24721873
NA cg15181598 cg13315147
NA cg06132400 cg19469447
NA cg25335841 cg00321709
NA cg00739278 cg18984983
NA cg04391064 cg05194426
NA cg26314566 cg11445109
NA cg02652018 cg14291745
NA cg05425699 cg09929763
NA cg00245878 cg11062778
NA cg25542733 cg25258098
NA cg03080692 cg01794156
NA cg00866206 cg17165241
NA cg17868694 cg03909863
NA cg14288925 cg01741372
NA cg09678349 cg11406765
NA cg01567825 cg07647179
NA cg00147849 cg01274643
NA cg08245096 cg15363314
NA cg01269670 cg21191514
NA cg04531694 cg12077660
NA ch.7.3333777R cg08577913
NA cg27576576 cg07589078
NA cg04771248 cg26313599
NA cg23704936 cg04585209
NA cg10401362 cg18706028
NA cg23740652 cg26700447
NA cg22114501 cg11185456
NA cg15129982 cg24637308
NA cg03454775 cg01833234
NA cg22381154 cg10208301
NA cg07298985 cg07103673
NA cg26499430 cg21881798
NA cg14930065 cg13070366
NA cg12859101 cg01116568
NA cg02712294 cg17074339
NA cg27619646 cg19347782
NA cg27650870 cg02886208
NA cg19537719 cg05304057
NA cg18614735 cg07093428
NA cg08415582 cg19767548
NA cg15423872 cg14332815
NA cg19439706 cg11821245
NA cg02298862 cg05740244
NA cg19187110 cg07415359
NA cg20134357 cg14813083
NA cg20296493 cg15463284
NA cg11716073 cg14409029
NA cg13514324 cg24426391
NA cg26259926 cg06241208
NA cg12494355 cg03447554
NA cg20894495 cg12856521
NA cg19633863 cg09667753
NA cg14214257 cg02254774
NA cg07881032 cg14716792
NA cg01737465 cg15971518
NA cg14383611 cg02220129
NA cg05261759 cg11909574
NA cg13599613 cg04819497
NA cg16112945 cg18551877
NA cg13906573 cg11229864
NA cg03680680 cg00735023
NA cg18303423 cg17588350
NA cg00142642 cg19431051
NA cg20675702 cg12528056
NA cg05219051 cg09147119
NA cg09113440 cg12644659
NA cg02974659 cg23361590
NA cg13745632 cg24745327
NA cg00744172 cg20450318
NA cg16536855 cg08755490
NA cg09994017 cg04592747
NA cg05395156 cg05475524
NA cg04582294 cg24851651
NA cg08962038 cg00290607
NA cg18417622 cg23188684
NA cg19731367 cg24974729
NA cg03098589 cg07326602
NA cg05310185 cg04772025
NA cg03639152 cg11157765
NA cg04642620 cg09776041
NA cg11314211 cg25801502
NA cg11693285 cg20835708
NA cg02238549 cg04044120
NA cg14435498 cg06329735
NA cg13584272 cg05353869
NA cg09033333 cg04231094
NA cg03897392 cg10909185
NA cg23452957 cg04058752
NA cg08506282 cg04518186
NA cg16521773 cg09721595
NA cg13968557 cg13228701
NA cg19986254 cg01202519
NA cg17434309 cg21566416
NA cg01517776 cg26138821
NA cg02475301 cg07609862
NA cg17168830 cg00489066
NA cg12707024 cg03406626
NA cg21171314 cg03942599
NA cg08626560 cg22355889
NA cg06779856 cg14774438
NA cg08134417 cg10980774
NA cg19486271 cg27661571
NA cg04848972 cg09593860
NA cg22081008 cg03821689
NA cg12528597 cg07780348
NA cg23371208 cg05940452
NA cg19915762 cg15174564
NA cg07884764 cg20905796
NA cg08011645 cg11537406
NA cg18791826 cg19097082
NA cg08615650 cg03367643
NA cg11027221 cg22629528
NA cg02340541 cg11395954
NA cg25723217 cg10486069
NA cg02453779 cg06766960
NA cg27205687 cg06067394
NA cg12974393 cg18057887
NA cg04794299 cg07010222
NA cg03501539 cg02275226
NA cg15505737 cg19778375
NA cg05014721 cg07866725
NA cg18268562 cg05860956
NA cg24766553 cg01201512
NA cg05940452 cg07813377
NA cg23670630 cg11957400
NA cg04452896 cg24856673
NA cg13945107 cg08762603
NA cg01803766 cg10104252
NA cg04956701 cg11791577
NA cg08765940 cg20667825
NA cg15391452 cg23877043
NA cg11491407 cg16874583
NA cg27649194 cg14906510
NA cg10635895 cg09651654
NA cg23390118 cg14108567
NA cg09576209 cg19651757
NA cg10668399 cg24299306
NA cg20834681 cg20188490
NA cg11059944 cg25373614
NA cg22488164 cg06202470
NA cg19164621 cg19789919
NA cg22999327 cg00697301
NA cg13285600 cg07238058
NA cg25198275 cg25134647
NA cg03637696 cg15828915
NA cg01043616 cg13679842
NA cg16615454 cg17292337
NA cg27441225 cg10317314
NA cg07805981 cg14687298
NA cg10654546 cg08537890
NA cg09796911 cg19787556
NA cg07684809 cg27019122
NA cg03223580 cg03786043
NA cg26509746 cg20353489
NA cg20112159 cg08037478
NA cg04251872 cg03562770
NA cg09636302 cg20762480
NA cg27246571 cg20731937
NA cg15968895 cg09187865
NA cg16558319 cg09918394
NA cg19721065 cg15127250
NA cg20249210 cg19974223
NA cg11258452 cg19948393
NA cg04255937 cg04349021
NA cg26682900 cg06553033
NA cg04398275 cg16387046
NA cg14031846 cg06679265
NA cg01629993 cg12988522
NA cg12412089 cg06943073
NA cg01016191 cg22375663
NA cg24229701 cg11340603
NA cg21385432 cg22171314
NA cg05626790 cg08922308
NA cg23547157 cg07805603
NA cg12156655 cg15975750
NA cg06873606 cg03923277
NA cg10372829 cg07696842
NA cg03954144 cg25345738
NA cg09169779 cg19516733
NA cg14716095 cg27656459
NA cg17549366 cg11258452
NA cg09955012 cg21016266
NA cg14395298 cg23029597
NA cg14089267 cg17858911
NA cg24702360 cg16953816
NA cg21606928 cg20000602
NA cg22003348 cg20337996
NA cg26289291 cg17878881
NA cg02639958 cg06300469
NA cg12286415 cg07877257
NA cg19856771 cg25825627
NA cg18090489 cg25097398
NA cg18753962 cg09035930
NA cg20634967 cg02763002
NA cg06116009 cg01290755
NA cg05313918 cg14604444
NA cg11147919 cg27633287
NA cg17121140 cg24229701
NA cg24721309 cg24838063
NA cg17988535 cg26677194
NA cg23519572 cg23887609
NA cg01527164 cg23548151
NA cg09833350 cg13900773
NA cg13141363 cg20594841
NA cg20337385 cg26922917
NA cg26350222 cg01056242
NA cg05890727 cg00078996
NA cg18177275 cg04063615
NA cg11858564 cg22244940
NA cg14886850 cg25822783
NA cg19843226 cg21600908
NA cg02400572 cg12093005
NA cg14525832 cg04803930
NA cg00763510 cg25130710
NA cg21155767 cg18159533
NA cg14282221 cg00963378
NA cg10046893 cg08822578
NA cg19477205 cg14456004
NA cg16466870 cg13730219
NA cg24127506 cg27427743
NA cg23012310 cg14395298
NA cg23429749 cg14089267
NA cg01067216 cg05820861
NA cg04115584 cg22771759
NA cg01363714 cg16134678
NA cg21903378 cg08532057
NA cg10994168 cg11787508
NA cg01250563 cg19529146
NA cg20775837 cg00318380
NA cg01372572 cg09117688
NA cg11074933 cg14759977
NA cg26726006 cg15988970
NA cg01191259 cg04118119
NA cg16225804 cg08779649
NA cg13176198 cg03651054
NA cg03330558 cg20293942
NA cg16792560 cg23734418
NA cg05432213 cg17878506
NA cg27365324 cg01819759
NA cg07774177 cg21838488
NA cg20543571 cg00750481
NA cg11804248 cg09122588
NA cg15190747 cg03371199
NA cg21252175 cg13990092
NA cg26476483 cg22996489
NA cg02079584 cg24122364
NA cg10671710 cg05912299
NA cg12363584 cg17910899
NA cg12645284 cg13752184
NA cg16553427 cg19359983
NA cg10275315 cg21628927
NA cg14786290 cg14361252
NA cg04171117 cg14384178
NA cg19322380 cg24102792
NA cg21746425 cg06836319
NA cg12553689 cg20923605
NA cg07615383 cg19891452
NA cg00098799 cg24820672
NA cg13812291 cg17655970
NA cg03380198 cg03486986
NA cg02851049 cg00557959
NA cg00432872 cg15756319
NA cg13005329 cg11462099
NA cg00976797 cg26666292
NA cg03393889 cg20157572
NA cg22730830 cg16567723
NA cg01232511 cg25319564
NA cg07798610 cg05695106
NA cg04468817 cg23132774
NA cg07516511 cg12584960
NA cg27620871 cg18476566
NA cg02256969 cg13673126
NA cg19328294 cg20581874
NA cg05895034 cg26393629
NA cg09745688 cg04189328
NA cg05490519 cg07509935
NA cg00480381 cg26310551
NA cg00461841 cg25576711
NA cg08623215 cg06796435
NA cg03780561 cg23511824
NA cg01776298 cg18273401
NA cg26613361 cg13972423
NA cg02608963 cg03032497
NA cg02120611 cg18111500
NA cg09018739 cg23092040
NA cg05420738 cg19641841
NA cg08770961 cg22789982
NA cg15482422 cg01794799
NA cg09906145 cg12055680
NA cg07469744 cg26146732
NA cg06572953 cg21484985
NA cg00114159 cg08322580
NA cg05398940 cg16333262
NA cg26916609 cg22824376
NA cg24667510 cg00021325
NA cg23178322 cg19873923
NA cg03021260 cg13225565
NA cg19811683 cg16602316
NA cg26297950 cg16462006
NA cg10965183 cg10261416
NA cg12324629 cg06341731
NA cg21902394 cg08015762
NA cg15193133 cg19718309
NA cg12684052 cg18516195
NA cg07870541 cg18089426
NA cg07009904 cg20030294
NA cg19131647 cg26031613
NA cg11129343 cg04257913
NA cg05174890 cg01820213
NA cg05540569 cg26153715
NA cg07723258 cg01655667
NA cg26094004 cg16761754
NA cg22791987 cg01147727
NA cg18026225 cg21017887
NA cg02957270 cg01649064
NA cg05555337 cg14270590
NA cg02865928 cg06892141
NA cg24180162 cg14142520
NA cg27224791 cg18831910
NA cg13360200 cg20777656
NA cg12582317 cg16707215
NA cg20464360 cg06756169
NA cg01109337 cg03764088
NA cg15249796 cg05642024
NA cg09019432 cg12378321
NA cg08352115 cg02171545
NA cg00221096 cg27644292
NA cg01369276 cg25657700
NA cg02275878 cg01251603
NA cg26545162 cg15066197
NA cg16301617 cg14859324
NA cg16017144 cg02633068
NA cg09964933 cg24447866
NA cg10063663 cg21520684
NA cg05569220 cg14398295
NA cg11225357 cg20663376
NA cg26148904 cg05180717
NA cg18919720 cg00884334
NA cg26603632 cg01338139
NA cg17842879 cg01081584
NA cg12180316 cg25498107
NA cg02711726 cg13045913
NA cg14524754 cg18705301
NA cg24042899 cg10069155
NA cg18593210 cg01878366
NA cg20322862 cg19558802
NA cg12899381 cg24530489
NA cg26438105 cg12031962
NA cg27093273 cg03455316
NA cg17586988 cg12160578
NA cg15976763 cg12036633
NA cg16870867 cg02848875
NA cg19042497 cg09827761
NA cg14613786 cg26099834
NA cg13939809 cg05406088
NA cg06595072 cg14554415
NA cg12016792 cg07775813
NA cg25698978 cg22537334
NA cg13287964 cg05926586
NA cg06595479 cg08945711
NA cg27535410 cg17728600
NA cg02618733 cg20383508
NA cg17771569 cg17386899
NA cg22906451 cg12863693
NA cg02479575 cg22681495
NA cg22161299 cg01347349
NA cg13316977 cg07894967
NA cg02981989 cg22582617
NA cg02890250 cg25385940
NA cg04273661 cg13132497
NA cg09414724 cg13861126
NA cg27379065 cg21819984
NA cg19327544 cg26173375
NA cg21751540 cg25004981
NA cg17960886 cg07167994
NA cg01545223 cg02597199
NA cg22340508 cg17221377
NA cg10721834 cg25114630
NA cg03339609 cg26913058
NA cg21501412 cg00101154
NA cg08871608 cg12437481
NA cg00851394 cg26944245
NA cg23850904 cg00481259
NA cg24923931 cg02963119
NA cg00478479 cg00013655
NA cg20964856 cg05671758
NA cg19701101 cg01252526
NA cg07855456 cg05638439
NA cg21198638 cg07970752
NA cg10599948 cg02407415
NA cg26931208 cg06531573
NA cg22645062 cg03749207
NA cg17434634 cg14223671
NA cg03282345 cg08395793
NA cg16909495 cg03595018
NA cg10808198 cg03382370
NA cg14106680 cg04004158
NA cg02192974 cg06394109
NA cg11992783 cg09192369
NA cg12530021 cg09848508
NA cg20962215 cg09065629
NA cg04358463 cg01637482
NA cg23679798 cg26921482
NA cg01023593 cg03314158
NA cg08317681 cg06035616
NA cg23908269 cg08084154
NA cg21235746 cg19403023
NA cg03287299 cg01232511
NA cg25958766 cg07645761
NA cg20295248 cg05991492
NA cg16763089 cg09300795
NA cg10831901 cg09079882
NA cg27158481 cg26568304
NA cg11632685 cg08172479
NA cg20310608 cg05152300
NA cg24988036 cg00885682
NA cg06575425 cg00160777
NA cg14448104 cg05275182
NA cg14759366 cg02466173
NA cg23214267 cg01585723
NA cg19911058 cg04281019
NA cg02658437 cg00874817
NA cg27416247 cg25274975
NA cg08727867 cg04055096
NA cg24168308 cg01754423
NA cg11321156 cg04373760
NA cg18274664 cg08681685
NA cg14716686 cg10144400
NA cg01183122 cg04506728
NA cg15616257 cg16372632
NA cg14095850 cg03880033
NA cg18501409 cg00664454
NA cg03043822 cg05859533
NA cg13627197 cg10278552
NA cg22897224 cg26702039
NA cg08511772 cg05515244
NA cg12670943 cg00004883
NA cg12727018 cg07719096
NA cg07662964 cg09044981
NA cg02247863 cg07179329
NA cg12017894 cg09214892
NA NA cg02844852
NA NA cg05457730
NA NA cg26764761
NA NA cg09496634
NA NA cg08808042
NA NA cg00274640
NA NA cg03654841
NA NA cg00796866
NA NA cg00546448
NA NA cg09381666
NA NA cg09807356
NA NA cg27202913
NA NA cg05185784
NA NA cg03987653
NA NA cg16611967
NA NA cg26536949
NA NA cg05528899
NA NA cg13768055
NA NA cg16767880
NA NA cg10440639
NA NA cg03226844
NA NA cg02938172
NA NA cg04370829
NA NA cg16835101
NA NA cg00430613
NA NA cg01214346
NA NA cg17094593
NA NA cg03255749
NA NA cg11123583
NA NA cg05280794
NA NA cg03713963
NA NA cg05856321
NA NA cg09329516
NA NA cg24135491
NA NA cg13375589
NA NA cg10553748
NA NA cg09495303
NA NA cg21926094
NA NA cg05918002
NA NA cg05364567
NA NA cg03995300
NA NA cg21358336
NA NA cg03613822
NA NA cg20994022
NA NA cg08322244
NA NA cg04591843
NA NA cg27005118
NA NA cg26706520
NA NA cg03049249
NA NA cg02625024
NA NA cg04398451
NA NA cg08817483
NA NA cg08288433
NA NA cg06809326
NA NA cg22570042
NA NA cg05785424
NA NA cg22116458
NA NA cg01970040
NA NA cg19131647
NA NA cg05877788
NA NA cg18200150
NA NA cg09324608
NA NA cg01050010
NA NA cg20005518
NA NA cg19963856
NA NA cg11728928
NA NA cg20084219
NA NA cg04487205
NA NA cg19760250
NA NA cg12552293
NA NA cg20826740
NA NA cg06711380
NA NA cg10909506
NA NA cg10747531
NA NA cg10541110
NA NA cg10360323
NA NA cg23758822
NA NA cg26893861
NA NA cg25538415
NA NA cg19563671
NA NA cg22968622
NA NA cg08085267
NA NA cg19828220
NA NA cg01992590
NA NA cg11440486
NA NA cg00901687
NA NA cg03168497
NA NA cg19913426
NA NA cg14550519
NA NA cg03438490
NA NA cg06873352
NA NA cg10166044
NA NA cg18312782
NA NA cg07879897
NA NA cg01320579
NA NA cg26726340
NA NA cg22443212
NA NA cg05249744
NA NA cg26739149
NA NA cg15639842
NA NA cg02159489
NA NA cg10281770
NA NA cg22325292
NA NA cg00809820
NA NA cg10935494
NA NA cg15415094
NA NA cg17329859
NA NA cg27176264
NA NA cg12924510
NA NA cg07100532
NA NA cg00495303
NA NA cg01299279
NA NA cg09685104
NA NA cg06285911
NA NA cg18789636
NA NA cg16584393
NA NA cg21293934
NA NA cg03651292
NA NA cg26136497
NA NA cg24964110
NA NA cg20759047
NA NA cg15535896
NA NA cg07703790
NA NA cg05827233
NA NA cg15612221
NA NA cg16053920
NA NA cg24883732
NA NA cg16004501
NA NA cg20659941
NA NA cg26211724
NA NA cg23824713
NA NA cg26446133
NA NA cg25817165
NA NA cg21894287
NA NA cg18709881
NA NA cg04756515
NA NA cg15443732
NA NA cg01593857
NA NA cg27624471
NA NA cg22048216
NA NA cg24959938
NA NA cg19815565
NA NA cg13590055
NA NA cg21237861
NA NA cg10815657
NA NA cg25697727
NA NA cg07381391
NA NA cg13633497
NA NA cg15213081
NA NA cg12159023
NA NA cg24840300
NA NA cg10599438
NA NA cg26149567
NA NA cg05372495
NA NA cg21995147
NA NA cg16609181
NA NA cg05620923
NA NA cg02872767
NA NA cg19507489
NA NA cg05345154
NA NA cg23218559
NA NA cg04052466
NA NA cg26000619
NA NA cg22047338
NA NA cg18147048
NA NA cg11925620
NA NA cg25716820
NA NA cg08098382
NA NA cg09920172
NA NA cg12985235
NA NA cg22992730
NA NA cg16505953
NA NA cg24419602
NA NA cg24476033
NA NA cg18771553
NA NA cg23995446
NA NA cg02825211
NA NA cg15727925
NA NA cg19235955
NA NA cg17704839
NA NA cg24118856
NA NA cg13620110
NA NA cg10604476
NA NA cg10123421
NA NA cg01418618
NA NA cg10372770
NA NA cg01559901
NA NA cg19721055
NA NA cg18530645
NA NA cg06417478
NA NA cg23899408
NA NA cg14266237
NA NA cg24800175
NA NA cg16474696
NA NA cg17789193
NA NA cg25994622
NA NA cg18449879
NA NA cg22797450
NA NA cg16744531
NA NA cg21649277
NA NA cg15190383
NA NA cg05365033
NA NA cg07002447
NA NA cg25404914
NA NA cg01483656
NA NA cg17751872
NA NA cg15174294
NA NA cg10831725
NA NA cg21994712
NA NA cg17780447
NA NA cg09314196
NA NA cg08332658
NA NA cg01615818
NA NA cg07460376
NA NA cg12756686
NA NA cg03161606
NA NA cg18700013
NA NA cg17335657
