sample	chr_pos	meth_pct	coverage
EGAN00001341982	chr19_17224895	100	1
EGAN00001341982	chr19_19228631	100	3
EGAN00001341982	chr19_39437477	100	3
EGAN00001341982	chr19_47022375	0	1
EGAN00001341982	chr19_47357047	100	1
EGAN00001341982	chr19_48096320	0	1
EGAN00001341982	chr19_56667668	0	1
EGAN00001341983	chr16_984377	50	2
EGAN00001341983	chr16_10385715	50	2
EGAN00001341983	chr16_11330143	0	2
EGAN00001341983	chr16_26750116	0	1
EGAN00001341983	chr16_27782241	0	1
EGAN00001341983	chr16_31427636	0	1
EGAN00001341983	chr16_31639411	0	2
EGAN00001341983	chr16_32127597	100	1
EGAN00001341983	chr16_34663733	0	1
EGAN00001341983	chr16_73010278	100	1
EGAN00001341983	chr16_83267621	0	1
EGAN00001341983	chr16_88116470	100	2
EGAN00001341983	chr16_88786563	100	2
EGAN00001341983	chr11_12886036	0	5
EGAN00001341983	chr11_18108059	100	1
EGAN00001341983	chr11_65642354	100	1
EGAN00001341983	chr11_66959350	60	5
EGAN00001341983	chr11_68878159	100	3
EGAN00001341983	chr11_69152182	100	2
EGAN00001341983	chr11_117071886	100	4
EGAN00001341983	chr11_125418747	100	1
EGAN00001341983	chr11_126461346	100	3
EGAN00001341983	chr11_131933432	100	3
EGAN00001341983	chr11_132479453	100	1
EGAN00001341983	chr10_13054037	100	1
EGAN00001341983	chr10_15761856	0	1
EGAN00001341983	chr10_32230625	100	3
EGAN00001341983	chr10_43215249	0	1
EGAN00001341983	chr10_46051416	0	2
EGAN00001341983	chr10_103584792	0	1
EGAN00001341983	chr10_103848137	0	1
EGAN00001341983	chr10_116238155	100	2
EGAN00001341983	chr10_117126088	0	1
EGAN00001341983	chr10_117126333	100	1
EGAN00001341983	chr10_123497213	0	1
EGAN00001341983	chr10_129394840	100	2
EGAN00001341983	chr10_130359215	66.6666666666667	3
EGAN00001341983	chr3_5027252	100	1
EGAN00001341983	chr3_26878167	0	1
EGAN00001341983	chr3_50340540	0	2
EGAN00001341983	chr3_54203074	100	1
EGAN00001341983	chr3_61178549	80	5
EGAN00001341983	chr3_75583245	0	1
EGAN00001341983	chr3_75583318	0	1
EGAN00001341983	chr3_95090765	100	1
EGAN00001341983	chr3_98758134	100	2
EGAN00001341983	chr3_122232635	100	3
EGAN00001341983	chr3_124292638	100	3
EGAN00001341983	chr3_126214216	66.6666666666667	3
EGAN00001341983	chr3_141009558	33.3333333333333	3
EGAN00001341983	chr3_157701978	100	3
EGAN00001341983	chr3_187890625	100	2
EGAN00001341983	chr3_196648504	100	2
EGAN00001341983	chr7_5564384	66.6666666666667	3
EGAN00001341983	chr7_30642492	100	1
EGAN00001341983	chr7_58045908	60	5
EGAN00001341983	chr7_73565783	66.6666666666667	3
EGAN00001341983	chr7_95917591	0	1
EGAN00001341983	chr7_115420145	100	2
EGAN00001341983	chr7_116306146	100	5
EGAN00001341983	chr7_134355048	100	2
EGAN00001341983	chr4_6355382	0	1
EGAN00001341983	chr4_8351429	0	1
EGAN00001341983	chr4_9381003	100	1
EGAN00001341983	chr4_12118549	50	4
EGAN00001341983	chr4_26822662	0	1
EGAN00001341983	chr4_37436122	100	1
EGAN00001341983	chr4_64314525	100	4
EGAN00001341983	chr4_64927430	50	6
EGAN00001341983	chr4_78704723	75	4
EGAN00001341983	chr4_134394695	83.3333333333333	6
EGAN00001341983	chr4_184040172	0	2
EGAN00001341983	chr4_188315458	66.6666666666667	3
EGAN00001341983	chr12_34421085	100	2
EGAN00001341983	chr12_47817468	0	1
EGAN00001341983	chr12_54329411	33.3333333333333	3
EGAN00001341983	chr12_96485658	100	1
EGAN00001341983	chr12_103365614	80	5
EGAN00001341983	chr12_104215539	100	1
EGAN00001341983	chr12_109925358	100	1
EGAN00001341983	chr12_115334226	100	1
EGAN00001341983	chr12_121366048	0	1
EGAN00001341983	chr12_124548162	100	2
EGAN00001341983	chr12_132417868	0	1
EGAN00001341983	chr12_133232969	100	1
EGAN00001341983	chr6_10882717	0	2
EGAN00001341983	chr6_24684543	66.6666666666667	3
EGAN00001341983	chr6_25263453	100	1
EGAN00001341983	chr6_27187194	0	1
EGAN00001341983	chr6_35503585	0	1
EGAN00001341983	chr6_45236020	100	1
EGAN00001341983	chr6_68487849	87.5	8
EGAN00001341983	chr6_68633390	50	2
EGAN00001341983	chr6_126033156	66.6666666666667	3
EGAN00001341983	chr6_128911345	100	3
EGAN00001341983	chr6_133948746	100	2
EGAN00001341983	chr6_138523563	0	1
EGAN00001341983	chr6_150490691	100	2
EGAN00001341983	chr6_158356641	100	2
EGAN00001341983	chr6_159578134	50	2
EGAN00001341983	chr14_20747558	100	3
EGAN00001341983	chr14_50363770	0	1
EGAN00001341983	chr14_68434182	100	1
EGAN00001341983	chr14_72645911	50	2
EGAN00001341983	chr14_92261125	50	2
EGAN00001341983	chr14_96585335	0	1
EGAN00001341983	chr14_99617228	0	1
EGAN00001341983	chr14_102126515	50	2
EGAN00001341983	chr14_103332688	100	4
EGAN00001341983	chr8_4462694	75	4
EGAN00001341983	chr8_28419410	33.3333333333333	3
EGAN00001341983	chr8_41725935	100	1
EGAN00001341983	chr8_109229267	80	5
EGAN00001341983	chr8_127312020	100	1
EGAN00001341983	chr8_140469431	0	1
EGAN00001341983	chr8_142907539	100	2
EGAN00001341983	chr5_1597217	100	1
EGAN00001341983	chr5_1778903	33.3333333333333	3
EGAN00001341983	chr5_24317711	100	2
EGAN00001341983	chr5_33600908	100	3
EGAN00001341983	chr5_36017684	0	1
EGAN00001341983	chr5_36953216	100	1
EGAN00001341983	chr5_58913787	0	1
EGAN00001341983	chr5_62208520	66.6666666666667	3
EGAN00001341983	chr5_63155217	100	1
EGAN00001341983	chr5_96656366	100	3
EGAN00001341983	chr5_134906266	50	2
EGAN00001341983	chr5_137889034	0	1
EGAN00001341983	chr5_146333950	50	2
EGAN00001341983	chr5_170715905	33.3333333333333	3
EGAN00001341983	chrX_8064562	100	2
EGAN00001341983	chrX_9651990	100	2
EGAN00001341983	chrX_14690789	100	3
EGAN00001341983	chrX_29799022	100	2
EGAN00001341983	chrX_30374129	62.5	8
EGAN00001341983	chrX_45479778	0	1
EGAN00001341983	chrX_47084584	75	4
EGAN00001341983	chrX_52246947	100	2
EGAN00001341983	chrX_66086837	100	2
EGAN00001341983	chrX_66639832	50	2
EGAN00001341983	chrX_70303289	0	2
EGAN00001341983	chrX_87489343	100	2
EGAN00001341983	chrX_88018355	66.6666666666667	3
EGAN00001341983	chrX_92117524	100	4
EGAN00001341983	chrX_103155912	100	1
EGAN00001341983	chrX_121786794	50	4
EGAN00001341983	chrX_125833062	60	5
EGAN00001341983	chrX_131200477	100	1
EGAN00001341983	chrX_133812641	100	1
EGAN00001341983	chrX_140679022	0	3
EGAN00001341983	chrX_142933309	100	5
EGAN00001341983	chrX_145393855	0	1
EGAN00001341983	chrX_145459539	40	5
EGAN00001341983	chrX_154793630	25	4
EGAN00001341983	chr1_3332671	100	1
EGAN00001341983	chr1_15584385	100	1
EGAN00001341983	chr1_16167239	100	1
EGAN00001341983	chr1_25618560	0	1
EGAN00001341983	chr1_36555214	100	1
EGAN00001341983	chr1_53638146	0	1
EGAN00001341983	chr1_96518976	100	2
EGAN00001341983	chr1_98733419	100	2
EGAN00001341983	chr1_112329623	0	1
EGAN00001341983	chr1_114136997	50	2
EGAN00001341983	chr1_119005528	60	5
EGAN00001341983	chr1_151197469	100	1
EGAN00001341983	chr1_151352085	100	1
EGAN00001341983	chr1_153022380	33.3333333333333	3
EGAN00001341983	chr1_156193528	100	1
EGAN00001341983	chr1_156246289	100	1
EGAN00001341983	chr1_167629958	0	6
EGAN00001341983	chr1_168997424	100	1
EGAN00001341983	chr1_181629071	50	2
EGAN00001341983	chr1_221839912	0	2
EGAN00001341983	chr15_37642362	100	3
EGAN00001341983	chr15_59863352	100	1
EGAN00001341983	chr15_65305540	0	2
EGAN00001341983	chr15_77815002	100	1
EGAN00001341983	chr15_82808150	66.6666666666667	6
EGAN00001341983	chr15_82850898	50	2
EGAN00001341983	chr15_101653213	0	3
EGAN00001341983	chr20_18728365	100	2
EGAN00001341983	chr20_31274499	100	1
EGAN00001341983	chr20_38892436	33.3333333333333	3
EGAN00001341983	chr20_41378024	50	2
EGAN00001341983	chr20_53469500	100	1
EGAN00001341983	chr20_56318577	100	1
EGAN00001341983	chr20_63085658	100	2
EGAN00001341983	chr20_63165100	100	1
EGAN00001341983	chr2_70202883	100	3
EGAN00001341983	chr2_175400388	33.3333333333333	3
EGAN00001341983	chr2_187003438	100	1
EGAN00001341983	chr2_203707953	100	4
EGAN00001341983	chr2_213001584	0	3
EGAN00001341983	chr2_217062556	100	3
EGAN00001341983	chr2_226994954	100	1
EGAN00001341983	chr2_228500207	50	2
EGAN00001341983	chr2_230318605	50	2
EGAN00001341983	chr19_1081819	100	2
EGAN00001341983	chr19_4208634	100	1
EGAN00001341983	chr19_9960591	0	1
EGAN00001341983	chr19_10547625	100	1
EGAN00001341983	chr19_14428342	100	2
EGAN00001341983	chr19_17224895	100	3
EGAN00001341983	chr19_19228631	100	1
EGAN00001341983	chr19_39437477	100	1
EGAN00001341983	chr19_47022375	0	2
EGAN00001341983	chr19_47357047	100	1
EGAN00001341983	chr19_48096320	100	3
EGAN00001341983	chr19_50259120	0	1
EGAN00001341983	chr19_56667668	0	1
EGAN00001341983	chr9_263022	100	1
EGAN00001341983	chr9_6873941	100	3
EGAN00001341983	chr9_11233815	100	3
EGAN00001341983	chr9_20682982	100	1
EGAN00001341983	chr9_21152362	66.6666666666667	3
EGAN00001341983	chr9_36826325	50	2
EGAN00001341983	chr9_42853495	0	1
EGAN00001341983	chr9_63348247	66.6666666666667	3
EGAN00001341983	chr9_76836241	50	2
EGAN00001341983	chr9_77514982	0	2
EGAN00001341983	chr9_78292300	66.6666666666667	3
EGAN00001341983	chr9_81101871	33.3333333333333	3
EGAN00001341983	chr9_127752452	100	1
EGAN00001341983	chr9_134026344	0	1
EGAN00001341983	chr9_135481350	0	1
EGAN00001341983	chr17_6985285	75	4
EGAN00001341983	chr17_68247196	0	1
EGAN00001341983	chr17_75539860	100	1
EGAN00001341983	chr13_25852742	83.3333333333333	6
EGAN00001341983	chr13_51782350	100	1
EGAN00001341983	chr13_87447540	100	3
EGAN00001341983	chr13_99977890	0	4
EGAN00001341983	chr13_111422484	100	1
EGAN00001341983	chr18_14600023	33.3333333333333	3
EGAN00001341983	chr18_36160184	100	1
EGAN00001341983	chr18_60868500	80	5
EGAN00001341983	chr18_77421661	100	1
EGAN00001341983	chr22_26630073	100	1
EGAN00001341983	chr22_26665011	50	6
EGAN00001341983	chr22_27803413	100	1
EGAN00001341983	chr22_49646965	66.6666666666667	3
EGAN00001341983	chr22_50267083	100	1
EGAN00001341983	chr21_38664557	100	1
EGAN00001341984	chr5_1597217	100	2
EGAN00001341984	chr5_1778903	66.6666666666667	6
EGAN00001341984	chr5_24317711	100	1
EGAN00001341984	chr5_33600908	100	8
EGAN00001341984	chr5_36017684	80	10
EGAN00001341984	chr5_36953216	87.5	8
EGAN00001341984	chr5_58913787	0	2
EGAN00001341984	chr5_62208520	83.3333333333333	6
EGAN00001341984	chr5_63155217	100	2
EGAN00001341984	chr5_76199453	0	2
EGAN00001341984	chr5_88827334	100	1
EGAN00001341984	chr5_96656366	75	4
EGAN00001341984	chr5_134906266	33.3333333333333	3
EGAN00001341984	chr5_135036179	66.6666666666667	3
EGAN00001341984	chr5_137889034	0	1
EGAN00001341984	chr5_146333950	66.6666666666667	3
EGAN00001341984	chr5_170715905	50	4
EGAN00001341984	chr6_10882717	0	2
EGAN00001341984	chr6_24684543	100	4
EGAN00001341984	chr6_25263453	0	2
EGAN00001341984	chr6_27187194	75	8
EGAN00001341984	chr6_35503585	0	1
EGAN00001341984	chr6_45236020	100	3
EGAN00001341984	chr6_68487849	75	4
EGAN00001341984	chr6_68633390	66.6666666666667	3
EGAN00001341984	chr6_69431934	75	4
EGAN00001341984	chr6_96784428	75	8
EGAN00001341984	chr6_126033156	71.4285714285714	7
EGAN00001341984	chr6_128911345	100	3
EGAN00001341984	chr6_133948746	100	2
EGAN00001341984	chr6_138523563	0	2
EGAN00001341984	chr6_150490691	75	4
EGAN00001341984	chr6_158356641	85.7142857142857	7
EGAN00001341984	chr6_159578134	66.6666666666667	6
EGAN00001341984	chr3_26878167	100	6
EGAN00001341984	chr3_46984285	100	1
EGAN00001341984	chr3_46988170	0	5
EGAN00001341984	chr3_50340540	0	1
EGAN00001341984	chr3_54203074	33.3333333333333	3
EGAN00001341984	chr3_61178549	81.8181818181818	11
EGAN00001341984	chr3_72302013	100	3
EGAN00001341984	chr3_75583245	57.1428571428571	7
EGAN00001341984	chr3_75583318	25	4
EGAN00001341984	chr3_95090765	50	8
EGAN00001341984	chr3_98758134	100	4
EGAN00001341984	chr3_122232635	80	5
EGAN00001341984	chr3_124292638	100	1
EGAN00001341984	chr3_126214216	100	2
EGAN00001341984	chr3_141009558	40	5
EGAN00001341984	chr3_157701978	83.3333333333333	6
EGAN00001341984	chr3_161514273	100	1
EGAN00001341984	chr3_187890625	100	2
EGAN00001341984	chr3_196648504	100	2
EGAN00001341984	chr11_12886036	0	5
EGAN00001341984	chr11_18108059	100	3
EGAN00001341984	chr11_64041133	100	1
EGAN00001341984	chr11_64236610	100	5
EGAN00001341984	chr11_65642354	100	2
EGAN00001341984	chr11_66959350	57.1428571428571	7
EGAN00001341984	chr11_68878159	100	5
EGAN00001341984	chr11_69152182	33.3333333333333	3
EGAN00001341984	chr11_69702042	50	6
EGAN00001341984	chr11_94584351	50	4
EGAN00001341984	chr11_117071886	100	7
EGAN00001341984	chr11_125382866	60	5
EGAN00001341984	chr11_125418747	83.3333333333333	6
EGAN00001341984	chr11_126461346	50	2
EGAN00001341984	chr11_131933432	100	4
EGAN00001341984	chr11_132479453	100	2
EGAN00001341984	chr19_1081819	100	1
EGAN00001341984	chr19_4208634	100	1
EGAN00001341984	chr19_6933868	50	4
EGAN00001341984	chr19_9960591	0	1
EGAN00001341984	chr19_10547625	100	2
EGAN00001341984	chr19_17224895	100	3
EGAN00001341984	chr19_19228631	100	1
EGAN00001341984	chr19_39437477	100	1
EGAN00001341984	chr19_47022375	50	2
EGAN00001341984	chr19_47357047	100	3
EGAN00001341984	chr19_50259120	0	2
EGAN00001341984	chr19_56667668	0	3
EGAN00001341984	chr1_3332671	50	2
EGAN00001341984	chr1_11644156	50	2
EGAN00001341984	chr1_15584385	0	1
EGAN00001341984	chr1_16167239	100	2
EGAN00001341984	chr1_26030509	100	1
EGAN00001341984	chr1_26319849	0	5
EGAN00001341984	chr1_36555214	100	2
EGAN00001341984	chr1_53638146	0	2
EGAN00001341984	chr1_96518976	100	4
EGAN00001341984	chr1_98733419	100	3
EGAN00001341984	chr1_112329623	100	1
EGAN00001341984	chr1_114136997	33.3333333333333	3
EGAN00001341984	chr1_119005528	55.5555555555556	9
EGAN00001341984	chr1_151197469	75	4
EGAN00001341984	chr1_151352085	100	7
EGAN00001341984	chr1_153022380	50	2
EGAN00001341984	chr1_154707828	33.3333333333333	3
EGAN00001341984	chr1_156193528	20	5
EGAN00001341984	chr1_156246289	50	4
EGAN00001341984	chr1_167629958	0	4
EGAN00001341984	chr1_168997424	0	2
EGAN00001341984	chr1_180935427	100	2
EGAN00001341984	chr1_181629071	100	2
EGAN00001341984	chr1_212917135	100	1
EGAN00001341984	chr10_13054037	100	2
EGAN00001341984	chr10_15761856	100	2
EGAN00001341984	chr10_22875783	100	4
EGAN00001341984	chr10_32230625	100	6
