cpg_site,category,chr,pos,gene,gene_start,gene_end,in_gene_body,is_ME_hit
chr11_17081787,constitutive,chr11,17081787,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17081827,constitutive,chr11,17081827,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17081829,constitutive,chr11,17081829,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17081833,constitutive,chr11,17081833,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17081933,constitutive,chr11,17081933,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17081971,constitutive,chr11,17081971,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17082007,ambiguous,chr11,17082007,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17082110,ambiguous,chr11,17082110,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17082145,ambiguous,chr11,17082145,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17082230,ambiguous,chr11,17082230,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17082323,ambiguous,chr11,17082323,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17082381,constitutive,chr11,17082381,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17082414,ambiguous,chr11,17082414,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17082426,constitutive,chr11,17082426,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17082501,ambiguous,chr11,17082501,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17082531,ambiguous,chr11,17082531,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17082548,ambiguous,chr11,17082548,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17082609,ambiguous,chr11,17082609,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17082687,ambiguous,chr11,17082687,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17082699,ambiguous,chr11,17082699,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17082709,ambiguous,chr11,17082709,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17082778,ambiguous,chr11,17082778,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17082805,constitutive,chr11,17082805,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17082838,ambiguous,chr11,17082838,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17082854,ambiguous,chr11,17082854,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17082999,constitutive,chr11,17082999,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17083209,constitutive,chr11,17083209,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17083214,constitutive,chr11,17083214,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17083231,constitutive,chr11,17083231,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17083635,constitutive,chr11,17083635,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17083901,constitutive,chr11,17083901,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17084101,constitutive,chr11,17084101,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17084130,constitutive,chr11,17084130,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17084206,constitutive,chr11,17084206,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17084276,constitutive,chr11,17084276,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17084286,constitutive,chr11,17084286,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17084308,constitutive,chr11,17084308,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17084330,constitutive,chr11,17084330,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17084355,constitutive,chr11,17084355,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17084417,constitutive,chr11,17084417,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17084461,constitutive,chr11,17084461,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17084503,ambiguous,chr11,17084503,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17084548,constitutive,chr11,17084548,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17084565,constitutive,chr11,17084565,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17084626,constitutive,chr11,17084626,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17084628,constitutive,chr11,17084628,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17084640,constitutive,chr11,17084640,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17084700,constitutive,chr11,17084700,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17084714,constitutive,chr11,17084714,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17084721,constitutive,chr11,17084721,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17084730,constitutive,chr11,17084730,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17084768,constitutive,chr11,17084768,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17084787,constitutive,chr11,17084787,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17084811,constitutive,chr11,17084811,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17084831,constitutive,chr11,17084831,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17084859,constitutive,chr11,17084859,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17084864,constitutive,chr11,17084864,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17084875,constitutive,chr11,17084875,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17084889,constitutive,chr11,17084889,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17084909,constitutive,chr11,17084909,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17084949,constitutive,chr11,17084949,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17084965,constitutive,chr11,17084965,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17084985,ambiguous,chr11,17084985,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17085006,constitutive,chr11,17085006,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17085017,constitutive,chr11,17085017,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17085024,constitutive,chr11,17085024,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17085047,constitutive,chr11,17085047,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17085049,constitutive,chr11,17085049,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17085071,constitutive,chr11,17085071,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17085499,constitutive,chr11,17085499,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17085650,ambiguous,chr11,17085650,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17085653,ambiguous,chr11,17085653,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17085678,ambiguous,chr11,17085678,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17085686,ambiguous,chr11,17085686,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17085691,constitutive,chr11,17085691,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17085695,constitutive,chr11,17085695,PIK3C2A,17077730,17207986,TRUE,FALSE
chr11_17085738,ambiguous,chr11,17085738,PIK3C2A,17077730,17207986,TRUE,FALSE
