cpg_site,chr,pos,gene,gene_start,gene_end,in_gene_body,is_meso_hit
chr13_25372916,chr13,25372916,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25372920,chr13,25372920,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25372922,chr13,25372922,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25372945,chr13,25372945,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25372963,chr13,25372963,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25372982,chr13,25372982,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25372997,chr13,25372997,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25373021,chr13,25373021,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25373023,chr13,25373023,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25373062,chr13,25373062,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25373128,chr13,25373128,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25373160,chr13,25373160,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25373248,chr13,25373248,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25373293,chr13,25373293,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25373321,chr13,25373321,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25373494,chr13,25373494,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25373666,chr13,25373666,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25373702,chr13,25373702,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25373725,chr13,25373725,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25373821,chr13,25373821,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25373859,chr13,25373859,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25373862,chr13,25373862,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25373871,chr13,25373871,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25374009,chr13,25374009,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25374164,chr13,25374164,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25374172,chr13,25374172,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25374339,chr13,25374339,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25374393,chr13,25374393,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25374445,chr13,25374445,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25374484,chr13,25374484,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25374515,chr13,25374515,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25374530,chr13,25374530,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25374580,chr13,25374580,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25374646,chr13,25374646,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25375142,chr13,25375142,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25375231,chr13,25375231,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25375318,chr13,25375318,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25375459,chr13,25375459,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25375505,chr13,25375505,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25375530,chr13,25375530,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25375612,chr13,25375612,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25375641,chr13,25375641,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25375658,chr13,25375658,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25375665,chr13,25375665,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25375761,chr13,25375761,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25375792,chr13,25375792,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25375806,chr13,25375806,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25375822,chr13,25375822,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25375850,chr13,25375850,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25375860,chr13,25375860,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25376045,chr13,25376045,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25376126,chr13,25376126,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25376246,chr13,25376246,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25376655,chr13,25376655,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25376689,chr13,25376689,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25376883,chr13,25376883,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25376982,chr13,25376982,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25377019,chr13,25377019,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25377023,chr13,25377023,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25377030,chr13,25377030,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25377129,chr13,25377129,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25377156,chr13,25377156,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25377501,chr13,25377501,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25377565,chr13,25377565,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25377570,chr13,25377570,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25377662,chr13,25377662,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25377684,chr13,25377684,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25377856,chr13,25377856,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25377916,chr13,25377916,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25378101,chr13,25378101,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25378244,chr13,25378244,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25378686,chr13,25378686,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25378751,chr13,25378751,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25378798,chr13,25378798,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25378906,chr13,25378906,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25378921,chr13,25378921,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25379263,chr13,25379263,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25379427,chr13,25379427,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25379447,chr13,25379447,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25379713,chr13,25379713,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25379716,chr13,25379716,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25379721,chr13,25379721,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25379735,chr13,25379735,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25379752,chr13,25379752,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25379763,chr13,25379763,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25379778,chr13,25379778,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25379783,chr13,25379783,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25379914,chr13,25379914,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25379987,chr13,25379987,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25380014,chr13,25380014,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25380049,chr13,25380049,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25380147,chr13,25380147,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25380381,chr13,25380381,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25380383,chr13,25380383,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25380539,chr13,25380539,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25380758,chr13,25380758,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25380867,chr13,25380867,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25380976,chr13,25380976,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25381092,chr13,25381092,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25381155,chr13,25381155,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25381267,chr13,25381267,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25381752,chr13,25381752,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25381754,chr13,25381754,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25381820,chr13,25381820,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25381835,chr13,25381835,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25381874,chr13,25381874,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25381962,chr13,25381962,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25381993,chr13,25381993,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25382107,chr13,25382107,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25382430,chr13,25382430,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25382649,chr13,25382649,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25382685,chr13,25382685,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25382786,chr13,25382786,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25382794,chr13,25382794,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25382818,chr13,25382818,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25382945,chr13,25382945,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25382990,chr13,25382990,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25383138,chr13,25383138,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25383234,chr13,25383234,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25383293,chr13,25383293,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25383296,chr13,25383296,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25383382,chr13,25383382,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25383577,chr13,25383577,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25383623,chr13,25383623,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25383971,chr13,25383971,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25384054,chr13,25384054,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25384280,chr13,25384280,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25384542,chr13,25384542,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25384556,chr13,25384556,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25384576,chr13,25384576,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25384866,chr13,25384866,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25384951,chr13,25384951,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25385046,chr13,25385046,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25385374,chr13,25385374,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25385634,chr13,25385634,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25385984,chr13,25385984,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25386018,chr13,25386018,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25386135,chr13,25386135,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25386215,chr13,25386215,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25386257,chr13,25386257,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25386288,chr13,25386288,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25386327,chr13,25386327,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25386364,chr13,25386364,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25386602,chr13,25386602,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25386718,chr13,25386718,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25386734,chr13,25386734,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25386768,chr13,25386768,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25386824,chr13,25386824,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25386945,chr13,25386945,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25386951,chr13,25386951,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25386953,chr13,25386953,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25386983,chr13,25386983,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25387113,chr13,25387113,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25387141,chr13,25387141,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25387199,chr13,25387199,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25387319,chr13,25387319,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25387343,chr13,25387343,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25387349,chr13,25387349,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25387396,chr13,25387396,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25387430,chr13,25387430,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25387500,chr13,25387500,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25387541,chr13,25387541,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25387544,chr13,25387544,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25387562,chr13,25387562,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25387588,chr13,25387588,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25387593,chr13,25387593,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25387597,chr13,25387597,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25387731,chr13,25387731,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25387789,chr13,25387789,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25388334,chr13,25388334,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25388387,chr13,25388387,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25388408,chr13,25388408,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25388421,chr13,25388421,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25388480,chr13,25388480,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25388493,chr13,25388493,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25388499,chr13,25388499,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25388520,chr13,25388520,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25388535,chr13,25388535,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25388537,chr13,25388537,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25388673,chr13,25388673,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25389501,chr13,25389501,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25389516,chr13,25389516,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25389633,chr13,25389633,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25389838,chr13,25389838,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25390017,chr13,25390017,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25390057,chr13,25390057,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25390097,chr13,25390097,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25390245,chr13,25390245,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25390647,chr13,25390647,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25390667,chr13,25390667,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25390849,chr13,25390849,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25390873,chr13,25390873,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25391409,chr13,25391409,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25391432,chr13,25391432,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25391451,chr13,25391451,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25391743,chr13,25391743,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25391776,chr13,25391776,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25391866,chr13,25391866,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25391888,chr13,25391888,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25392015,chr13,25392015,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25392098,chr13,25392098,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25392114,chr13,25392114,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25392301,chr13,25392301,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25392797,chr13,25392797,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25392801,chr13,25392801,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25393276,chr13,25393276,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25393667,chr13,25393667,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25394501,chr13,25394501,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25394553,chr13,25394553,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25394574,chr13,25394574,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25394818,chr13,25394818,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25395164,chr13,25395164,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25395402,chr13,25395402,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25395479,chr13,25395479,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25395638,chr13,25395638,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25395778,chr13,25395778,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25395867,chr13,25395867,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25395904,chr13,25395904,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25395929,chr13,25395929,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25396077,chr13,25396077,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25396088,chr13,25396088,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25396133,chr13,25396133,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25396205,chr13,25396205,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25396548,chr13,25396548,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25396603,chr13,25396603,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25396673,chr13,25396673,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25396731,chr13,25396731,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25396735,chr13,25396735,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25396802,chr13,25396802,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25396958,chr13,25396958,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25396996,chr13,25396996,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25397105,chr13,25397105,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25397156,chr13,25397156,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25397391,chr13,25397391,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25397458,chr13,25397458,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25397519,chr13,25397519,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25398346,chr13,25398346,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25398470,chr13,25398470,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25398876,chr13,25398876,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25399038,chr13,25399038,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25399069,chr13,25399069,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25399289,chr13,25399289,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25399459,chr13,25399459,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25399467,chr13,25399467,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25399547,chr13,25399547,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25399555,chr13,25399555,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25399559,chr13,25399559,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25399592,chr13,25399592,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25399603,chr13,25399603,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25399612,chr13,25399612,ATP8A2,25371974,26025851,TRUE,FALSE
chr13_25399623,chr13,25399623,ATP8A2,25371974,26025851,TRUE,FALSE
