cpg_site,chr,pos,gene,gene_start,gene_end,in_gene_body,is_endo_hit
chr3_75634097,chr3,75634097,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75634119,chr3,75634119,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75634138,chr3,75634138,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75634197,chr3,75634197,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75634247,chr3,75634247,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75634265,chr3,75634265,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75634333,chr3,75634333,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75634564,chr3,75634564,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75634743,chr3,75634743,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75634804,chr3,75634804,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75634964,chr3,75634964,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75635104,chr3,75635104,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75635346,chr3,75635346,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75635488,chr3,75635488,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75635521,chr3,75635521,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75635582,chr3,75635582,MIR1324,75630763,75630858,FALSE,FALSE
chr3_75635634,chr3,75635634,MIR1324,75630763,75630858,FALSE,FALSE
chr10_116876582,chr10,116876582,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116876672,chr10,116876672,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116876676,chr10,116876676,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116876722,chr10,116876722,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116876732,chr10,116876732,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116876746,chr10,116876746,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116876766,chr10,116876766,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116876807,chr10,116876807,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116876819,chr10,116876819,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116876823,chr10,116876823,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116876843,chr10,116876843,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116876882,chr10,116876882,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116876899,chr10,116876899,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116876905,chr10,116876905,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116876907,chr10,116876907,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116876929,chr10,116876929,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116876943,chr10,116876943,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116877087,chr10,116877087,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116877202,chr10,116877202,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116877382,chr10,116877382,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116877628,chr10,116877628,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116877785,chr10,116877785,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116878105,chr10,116878105,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116878216,chr10,116878216,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116878382,chr10,116878382,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116878549,chr10,116878549,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116878568,chr10,116878568,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116878650,chr10,116878650,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116878652,chr10,116878652,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116878781,chr10,116878781,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116878804,chr10,116878804,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116878806,chr10,116878806,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116878836,chr10,116878836,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116878844,chr10,116878844,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116878866,chr10,116878866,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116878868,chr10,116878868,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116878900,chr10,116878900,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116878904,chr10,116878904,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116878944,chr10,116878944,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116878964,chr10,116878964,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116879032,chr10,116879032,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116879151,chr10,116879151,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116879352,chr10,116879352,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116879403,chr10,116879403,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116879623,chr10,116879623,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116879650,chr10,116879650,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116879815,chr10,116879815,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116879838,chr10,116879838,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116879887,chr10,116879887,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116879914,chr10,116879914,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116879923,chr10,116879923,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116879992,chr10,116879992,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116880190,chr10,116880190,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116880218,chr10,116880218,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116880382,chr10,116880382,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116880430,chr10,116880430,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116880631,chr10,116880631,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116880640,chr10,116880640,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116880862,chr10,116880862,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116880870,chr10,116880870,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116880949,chr10,116880949,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116880980,chr10,116880980,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116881147,chr10,116881147,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116881248,chr10,116881248,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116881277,chr10,116881277,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116881322,chr10,116881322,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116881367,chr10,116881367,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116881399,chr10,116881399,SHTN1,116881477,117126586,FALSE,FALSE
chr10_116881569,chr10,116881569,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116881590,chr10,116881590,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116881602,chr10,116881602,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116881645,chr10,116881645,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116881717,chr10,116881717,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116881733,chr10,116881733,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116881736,chr10,116881736,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116881739,chr10,116881739,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116881857,chr10,116881857,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116881929,chr10,116881929,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116882131,chr10,116882131,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116882262,chr10,116882262,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116882389,chr10,116882389,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116882558,chr10,116882558,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116882778,chr10,116882778,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116882890,chr10,116882890,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116883176,chr10,116883176,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116883487,chr10,116883487,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116883526,chr10,116883526,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116883751,chr10,116883751,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116883990,chr10,116883990,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116884014,chr10,116884014,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116884046,chr10,116884046,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116884158,chr10,116884158,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116884770,chr10,116884770,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116884867,chr10,116884867,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116884872,chr10,116884872,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116884952,chr10,116884952,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116885030,chr10,116885030,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116885114,chr10,116885114,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116885700,chr10,116885700,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116885710,chr10,116885710,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116885794,chr10,116885794,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116886373,chr10,116886373,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116886412,chr10,116886412,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116886511,chr10,116886511,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116886526,chr10,116886526,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116886793,chr10,116886793,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116886862,chr10,116886862,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116886919,chr10,116886919,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116887136,chr10,116887136,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116887261,chr10,116887261,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116887368,chr10,116887368,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116887413,chr10,116887413,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116887489,chr10,116887489,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116887722,chr10,116887722,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116887795,chr10,116887795,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116887941,chr10,116887941,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116887947,chr10,116887947,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116888074,chr10,116888074,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116888255,chr10,116888255,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116888430,chr10,116888430,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116888455,chr10,116888455,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116888505,chr10,116888505,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116888775,chr10,116888775,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116888784,chr10,116888784,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116888857,chr10,116888857,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116888970,chr10,116888970,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116889135,chr10,116889135,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116889329,chr10,116889329,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116894403,chr10,116894403,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116894580,chr10,116894580,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116894639,chr10,116894639,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116894817,chr10,116894817,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116895208,chr10,116895208,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116895312,chr10,116895312,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116895716,chr10,116895716,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116896005,chr10,116896005,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116896164,chr10,116896164,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116896450,chr10,116896450,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116896468,chr10,116896468,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116896550,chr10,116896550,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116896645,chr10,116896645,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116896702,chr10,116896702,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116896708,chr10,116896708,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116896748,chr10,116896748,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116897016,chr10,116897016,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116897095,chr10,116897095,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116897326,chr10,116897326,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116897366,chr10,116897366,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116897764,chr10,116897764,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116897866,chr10,116897866,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116897911,chr10,116897911,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116898053,chr10,116898053,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116898154,chr10,116898154,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116898156,chr10,116898156,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116898220,chr10,116898220,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116898242,chr10,116898242,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116898259,chr10,116898259,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116898282,chr10,116898282,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116898306,chr10,116898306,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116898564,chr10,116898564,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116898576,chr10,116898576,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116899031,chr10,116899031,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116899270,chr10,116899270,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116899428,chr10,116899428,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116899598,chr10,116899598,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116899650,chr10,116899650,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116899659,chr10,116899659,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116899672,chr10,116899672,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116899770,chr10,116899770,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116900154,chr10,116900154,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116900194,chr10,116900194,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116900202,chr10,116900202,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116901061,chr10,116901061,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116901369,chr10,116901369,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116901442,chr10,116901442,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116901658,chr10,116901658,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116901661,chr10,116901661,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116901755,chr10,116901755,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116901770,chr10,116901770,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116901804,chr10,116901804,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116901839,chr10,116901839,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116902122,chr10,116902122,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116902156,chr10,116902156,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116902232,chr10,116902232,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116902296,chr10,116902296,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116902306,chr10,116902306,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116902998,chr10,116902998,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116903208,chr10,116903208,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116903250,chr10,116903250,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116903258,chr10,116903258,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116903312,chr10,116903312,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116903397,chr10,116903397,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116903439,chr10,116903439,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116903473,chr10,116903473,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116903481,chr10,116903481,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116903503,chr10,116903503,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116903595,chr10,116903595,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116903653,chr10,116903653,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116903707,chr10,116903707,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116903871,chr10,116903871,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116904570,chr10,116904570,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116904835,chr10,116904835,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116904868,chr10,116904868,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116904923,chr10,116904923,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116904927,chr10,116904927,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116905264,chr10,116905264,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116905311,chr10,116905311,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116905324,chr10,116905324,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116905701,chr10,116905701,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116905757,chr10,116905757,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116905798,chr10,116905798,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116905841,chr10,116905841,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116905857,chr10,116905857,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116905882,chr10,116905882,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116905958,chr10,116905958,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116906341,chr10,116906341,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116906619,chr10,116906619,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116906659,chr10,116906659,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116906662,chr10,116906662,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116907047,chr10,116907047,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116907050,chr10,116907050,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116907059,chr10,116907059,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116907162,chr10,116907162,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116907223,chr10,116907223,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116907228,chr10,116907228,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116907231,chr10,116907231,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116907354,chr10,116907354,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116907522,chr10,116907522,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116907601,chr10,116907601,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116907677,chr10,116907677,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116907714,chr10,116907714,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116908685,chr10,116908685,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116909640,chr10,116909640,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116909863,chr10,116909863,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116909941,chr10,116909941,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116910080,chr10,116910080,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116910568,chr10,116910568,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116911041,chr10,116911041,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116911089,chr10,116911089,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116911183,chr10,116911183,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116911338,chr10,116911338,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116911478,chr10,116911478,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116911822,chr10,116911822,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116912147,chr10,116912147,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116912366,chr10,116912366,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116912614,chr10,116912614,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116912709,chr10,116912709,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116912975,chr10,116912975,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116913101,chr10,116913101,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116913169,chr10,116913169,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116913274,chr10,116913274,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116913321,chr10,116913321,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116913537,chr10,116913537,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116913545,chr10,116913545,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116914021,chr10,116914021,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116914132,chr10,116914132,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116914195,chr10,116914195,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116914269,chr10,116914269,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116914289,chr10,116914289,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116914537,chr10,116914537,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116914608,chr10,116914608,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116914644,chr10,116914644,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116914802,chr10,116914802,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116914837,chr10,116914837,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116914947,chr10,116914947,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116914976,chr10,116914976,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116915014,chr10,116915014,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116915128,chr10,116915128,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116915143,chr10,116915143,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116915384,chr10,116915384,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116915404,chr10,116915404,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116915767,chr10,116915767,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116916028,chr10,116916028,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116916165,chr10,116916165,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116916608,chr10,116916608,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116916725,chr10,116916725,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116916836,chr10,116916836,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116917277,chr10,116917277,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116917342,chr10,116917342,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116917367,chr10,116917367,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116917373,chr10,116917373,SHTN1,116881477,117126586,TRUE,FALSE
chr10_116917397,chr10,116917397,SHTN1,116881477,117126586,TRUE,FALSE
