chr	pos
chrX	7016824
chrX	10098645
chrX	10112046
chrX	10617414
chrX	13085724
chrX	13085779
chrX	16588234
chrX	19747761
chrX	19836478
chrX	21843368
chrX	39578319
chrX	40093984
chrX	40245261
chrX	46573011
chrX	46626534
chrX	47336816
chrX	47622962
chrX	49754094
chrX	56068564
chrX	63513899
chrX	82815444
chrX	86757807
chrX	94429299
chrX	94766678
chrX	110698029
chrX	112289118
chrX	119949088
chrX	124217835
chrX	135587459
chrX	142241494
chrX	150293559
chrX	150547061
chrX	153560375
