cpg_site,category,r_own,r_other,r_cross,own_layer,gene,dist_to_gene,pos,chr,dist_to_tss,dist_to_tss_signed,feature,in_TE,TE_class,TE_family,cluster_id
chr1_119005528,top1pcEndoOnly,0.81307877012065,0.0666346842696419,0.502989376549541,Endo,LOC105378933,3895,119005528,chr1,3895,-3896,intergenic,TRUE,LINE,L1,14
chr1_151197469,top1pcEndoOnly,0.8948151787146,0.110192359772253,0.20183648891463,Endo,PIP5K1A,479,151197469,chr1,479,-480,promoter,TRUE,SINE,Alu,15
chr1_151352085,top1pcEndoOnly,0.942905764534884,0.151263158034253,0.383940541967951,Endo,RFX5-AS1,4057,151352085,chr1,4758,-4759,intergenic,TRUE,LTR,ERV1,16
chr1_153022380,top1pcEndoOnly,0.534665506161984,0.239044764842514,0.470664165494899,Endo,LOC105371446,0,153022380,chr1,8822,-8823,promoter,TRUE,LTR,ERV1,17
chr1_154707828,top1pcEndoOnly,0.646860017025295,0.0373074098119255,0.273723278614412,Endo,KCNN3,0,154707828,chr1,18847,-18848,exon,FALSE,,,18
chr1_156193528,top1pcEndoOnly,0.703127567244404,0.24528507628914,0.0940906484115297,Endo,SLC25A44,403,156193528,chr1,403,-404,promoter,TRUE,SINE,Alu,19
chr1_156246289,top1pcEndoOnly,0.657538739768035,0.236867305758499,0.091114968426584,Endo,PAQR6,0,156246289,chr1,1827,1828,intron,FALSE,,,20
chr1_167629958,top1pcEndoOnly,0.454779325182228,0.158602591732848,0.113278524109131,Endo,RCSD1,134,167629958,chr1,134,-135,promoter,FALSE,,,21
chr1_168997424,top1pcEndoOnly,0.962628736370673,0.170573726056427,0.0688886588513614,Endo,DPT,0,168997424,chr1,105851,105852,intron,TRUE,LINE,L1,22
chr1_180935427,top1pcEndoOnly,0.655581005598623,0.241248701130994,0.502504174704961,Endo,KIAA1614,0,180935427,chr1,19459,19460,exon,FALSE,,,23
chr1_181629071,top1pcEndoOnly,0.780907928752206,0.175847301987705,0.0308395073935265,Endo,CACNA1E,0,181629071,chr1,311380,311381,intron,FALSE,,,24
chr1_212917135,top1pcEndoOnly,0.789275287391729,0.0490049375914416,0.463517657834194,Endo,LOC124904507,0,212917135,chr1,401,402,promoter,FALSE,,,25
chr1_221839912,top1pcEndoOnly,0.814393517958399,0.272728763271104,0.237930192613461,Endo,LINC01705,0,221839912,chr1,853,854,exon,FALSE,,,26
chr10_13054037,top1pcEndoOnly,0.686167085948379,0.0154119435728382,0.293459356998885,Endo,CCDC3,0,13054037,chr10,45411,-45412,intron,TRUE,SINE,Alu,27
chr10_15761856,top1pcEndoOnly,0.870493689782727,0.234906739261827,0.353275893294636,Endo,LOC124902383,0,15761856,chr10,24112,24113,intron,FALSE,,,28
chr10_22875783,top1pcEndoOnly,0.821297235214037,0.223034067115573,0.0647377662290269,Endo,LOC105376451,3870,22875783,chr10,26975,26976,intron,TRUE,LTR,ERVL,29
chr10_32230625,top1pcEndoOnly,0.825510713804156,0.00933433304408778,0.0262587173705737,Endo,EPC1,37125,32230625,chr10,116771,-116772,intergenic,TRUE,LTR,ERV1,30
chr10_43215249,top1pcEndoOnly,0.665702287060302,0.251945224654573,0.425668691028549,Endo,RASGEF1A,0,43215249,chr10,51815,51816,intron,FALSE,,,31
chr10_46051416,top1pcEndoOnly,0.724747731311766,0.210872710551484,0.136887321716772,Endo,MSMB,3235,46051416,chr10,3235,-3236,intergenic,FALSE,,,32
chr10_48531683,top1pcEndoOnly,0.706252695559188,0.133049431666529,0.167088727984834,Endo,ARHGAP22,0,48531683,chr10,19975,-19976,intron,TRUE,SINE,MIR,33
chr10_86942707,top1pcEndoOnly,0.451155580297774,0.112831235163573,0.226905750152063,Endo,MMRN2,0,86942707,chr10,15891,-15892,exon,FALSE,,,34
chr10_103584792,top1pcEndoOnly,0.839240324052518,0.183255913111615,0.147418852813705,Endo,NEURL1,0,103584792,chr10,1104,-1105,promoter,FALSE,,,35
chr10_103848137,top1pcEndoOnly,0.432943035511229,0.224769999824926,0.290546137048267,Endo,SH3PXD2A,0,103848137,chr10,7446,7447,intron,FALSE,,,36
chr10_116238155,top1pcEndoOnly,0.854065433596969,0.206669145181527,0.300900783838685,Endo,GFRA1,0,116238155,chr10,36022,-36023,intron,FALSE,,,37
chr10_117126088,top1pcEndoOnly,0.71842166548158,0.132514193620918,0.384723926312304,Endo,SHTN1,0,117126088,chr10,497,498,intron,FALSE,,,38
chr10_117126333,top1pcEndoOnly,0.533317506626268,0.124692505939502,0.087607892140088,Endo,SHTN1,0,117126333,chr10,252,253,exon,FALSE,,,38
chr10_123497213,top1pcEndoOnly,0.460350315732882,0.081959846153204,0.405887388058896,Endo,LINC02641,0,123497213,chr10,62030,62031,intron,FALSE,,,39
chr10_129394840,top1pcEndoOnly,0.960835366055132,0.0890090084731619,0.256660805206397,Endo,LOC105378557,14034,129394840,chr10,14034,-14035,intergenic,FALSE,,,40
chr10_130359215,top1pcEndoOnly,0.461329743478974,0.0232237553416044,0.235462347886124,Endo,LOC124900609,54138,130359215,chr10,145703,145704,intron,FALSE,,,41
chr10_131223999,top1pcEndoOnly,0.642371840268571,0.239290165052913,0.453613737314041,Endo,TCERG1L,0,131223999,chr10,87721,87722,intron,FALSE,,,42
chr10_131581723,top1pcEndoOnly,0.611683759444142,0.0264919994194346,0.458029959552732,Endo,LINC01164,190659,131581723,chr10,208475,208476,intergenic,TRUE,LINE,L1,43
chr10_132416091,top1pcEndoOnly,0.693893096140635,0.247126555522039,0.227918550285534,Endo,PWWP2B,0,132416091,chr10,18922,18923,intron,TRUE,LTR,ERVL-MaLR,44
chr11_1338849,top1pcEndoOnly,0.788990575788405,0.0153475991846108,0.111773456884147,Endo,LOC124902606,1780,1338849,chr11,1780,-1781,promoter,FALSE,,,45
chr11_12886036,top1pcEndoOnly,0.608870581265181,0.167447728653924,0.491589662709747,Endo,TEAD1,0,12886036,chr11,103560,103561,intron,TRUE,LINE,L2,46
chr11_18108059,top1pcEndoOnly,0.658558014169852,0.168336291776694,0.0894335542843248,Endo,SAAL1,1971,18108059,chr11,1971,-1972,promoter,TRUE,SINE,Alu,47
chr11_64041133,top1pcEndoOnly,0.427948139817214,0.269144717756749,0.228518130826304,Endo,MACROD1,0,64041133,chr11,5201,5202,intron,FALSE,,,48
chr11_64236610,top1pcEndoOnly,0.804017819556628,0.16499543186762,0.296259553267681,Endo,VEGFB,0,64236610,chr11,2025,2026,promoter,TRUE,SINE,Alu,49
chr11_65642354,top1pcEndoOnly,0.758795919749412,0.277555629632748,0.014382644338794,Endo,SIPA1,0,65642354,chr11,4252,4253,exon,FALSE,,,50
chr11_66959350,top1pcEndoOnly,0.673063870191792,0.097479407742337,0.0593717676981211,Endo,PC,963,66959350,chr11,963,-964,promoter,TRUE,LTR,ERV1,51
chr11_68878159,top1pcEndoOnly,0.783960502570246,0.162773247625395,0.27375770253251,Endo,LINC02701,3616,68878159,chr11,7494,7495,intergenic,TRUE,LTR,ERV1,52
chr11_69152182,top1pcEndoOnly,0.7211197507225,0.137449656027529,0.32273527653457,Endo,LOC338694,0,69152182,chr11,14572,-14573,intron,FALSE,,,53
chr11_69702042,top1pcEndoOnly,0.470685608589131,0.240130848796432,0.028797114309416,Endo,FGF19,0,69702042,chr11,1979,1980,intron,FALSE,,,54
chr11_94584351,top1pcEndoOnly,0.503625261354917,0.236617582248295,0.301846293141071,Endo,PIWIL4,0,94584351,chr11,40429,40430,intron,FALSE,,,55
chr11_117071886,top1pcEndoOnly,0.851704644781996,0.19027897279868,0.447098663449048,Endo,SIK3,0,117071886,chr11,26550,26551,intron,TRUE,SINE,Alu,56
chr11_125382866,top1pcEndoOnly,0.694320262896049,0.0461710046266435,0.173425829675267,Endo,PKNOX2,0,125382866,chr11,112347,-112348,intron,FALSE,,,57
chr11_125418747,top1pcEndoOnly,0.736659968765568,0.179848290146521,0.478017062860019,Endo,PKNOX2,0,125418747,chr11,76466,-76467,intron,TRUE,DNA,TcMar-Tigger,58
chr11_126461346,top1pcEndoOnly,0.621274172763808,0.0127479303933555,0.416717818191129,Endo,KIRREL3,0,126461346,chr11,82600,-82601,intron,FALSE,,,59
chr11_131933432,top1pcEndoOnly,0.891844791501579,0.222658812232916,0.199064435515267,Endo,NTM,0,131933432,chr11,21801,-21802,intron,FALSE,,,60
chr11_132479453,top1pcEndoOnly,0.800619121046696,0.106887819256587,0.375759400565455,Endo,OPCML,0,132479453,chr11,195150,195151,intron,TRUE,LINE,L1,61
chr12_2377330,top1pcEndoOnly,0.835854129385066,0.11116455966869,0.411844182701402,Endo,ITFG2-AS1,305192,2377330,chr12,362701,-362702,intron,FALSE,,,62
chr12_34421085,top1pcEndoOnly,0.575627506316353,0.125231443704767,0.161338738721624,Endo,LINC02963,201647,34421085,chr12,201647,-201648,intergenic,FALSE,,,63
chr12_47817468,top1pcEndoOnly,0.813702623017256,0.149437663901637,0.043340870263783,Endo,HDAC7,0,47817468,chr12,9385,-9386,exon,FALSE,,,64
chr12_54329411,top1pcEndoOnly,0.516296509933911,0.286636862182431,0.0679358454610629,Endo,COPZ1,0,54329411,chr12,7804,-7805,intron,TRUE,SINE,Alu,65
chr12_96485658,top1pcEndoOnly,0.668017439036664,0.0267450440465851,0.0788232078755356,Endo,CFAP54,3912,96485658,chr12,3912,-3913,promoter,FALSE,,,66
chr12_103365614,top1pcEndoOnly,0.488471059325311,0.186115750694494,0.431113966097778,Endo,C12orf42,0,103365614,chr12,130397,-130398,intron,TRUE,LINE,L1,67
chr12_104215539,top1pcEndoOnly,0.522685139630937,0.0178320876873109,0.231046656640049,Endo,TXNRD1,239,104215539,chr12,239,-240,promoter,TRUE,SINE,Alu,68
chr12_109264248,top1pcEndoOnly,0.59695185329942,0.225433641161567,0.317601789446545,Endo,ACACB,0,109264248,chr12,45035,45036,exon,FALSE,,,69
chr12_109925358,top1pcEndoOnly,0.622870656855054,0.207922626923573,0.00534634114792624,Endo,TCHP,0,109925358,chr12,7685,-7686,intron,FALSE,,,70
chr12_115334226,top1pcEndoOnly,0.806556854172948,0.279990473187189,0.292219286736562,Endo,LOC124903082,0,115334226,chr12,20570,20571,promoter,FALSE,,,71
chr12_121366048,top1pcEndoOnly,0.559038654788502,0.244953312656031,0.460451057453497,Endo,ANAPC5,0,121366048,chr12,9336,-9337,intron,FALSE,,,72
chr12_124548162,top1pcEndoOnly,0.709841184728108,0.158019135127,0.244805318711326,Endo,NCOR2,0,124548162,chr12,19449,19450,intron,FALSE,,,73
chr12_132188299,top1pcEndoOnly,0.713495347021121,0.0324280814386461,0.205677842815826,Endo,EP400,107838,132188299,chr12,157074,157075,promoter,TRUE,LTR,ERVL-MaLR,74
chr12_132417868,top1pcEndoOnly,0.560026059175557,0.00480065006417995,0.359617488642679,Endo,LOC105370092,10208,132417868,chr12,11540,11541,intergenic,FALSE,,,75
chr12_133232969,top1pcEndoOnly,0.516044870710173,0.237038873829252,0.393727519446524,Endo,ANHX,0,133232969,chr12,2907,2908,intron,TRUE,LINE,L2,76
chr13_18287696,top1pcEndoOnly,0.672584371727679,0.19608701537387,0.42946756594393,Endo,LOC124903275,130829,18287696,chr13,130829,-130830,intron,FALSE,,,77
chr13_25852742,top1pcEndoOnly,0.740561823859887,0.211855141357103,0.138497988626197,Endo,ATP8A2,0,25852742,chr13,124764,124765,intron,TRUE,SINE,Alu,78
chr13_51782350,top1pcEndoOnly,0.888920976049097,0.0632094230605679,0.265810909679471,Endo,DHRS12,0,51782350,chr13,21726,-21727,intron,TRUE,LINE,L2,79
chr13_87447540,top1pcEndoOnly,0.61116330080687,0.20322491465006,0.214681001923207,Endo,MIR4500HG,0,87447540,chr13,113593,113594,promoter,FALSE,,,80
chr13_99977890,top1pcEndoOnly,0.610825120300484,0.177396876981787,0.499761084533921,Endo,ZIC2,3893,99977890,chr13,3893,-3894,intron,FALSE,,,81
chr13_111422484,top1pcEndoOnly,0.843278439858789,0.0790531840287478,0.423671248103073,Endo,TEX29,78234,111422484,chr13,106299,106300,intergenic,FALSE,,,82
chr14_20747558,top1pcEndoOnly,0.808950412344531,0.280394399134508,0.362603662566036,Endo,EDDM3A,0,20747558,chr14,20845,-20846,exon,FALSE,,,83
chr14_50363770,top1pcEndoOnly,0.95078750100556,0.112571487940176,0.480990034853417,Endo,CDKL1,0,50363770,chr14,51445,51446,intron,FALSE,,,84
chr14_68434182,top1pcEndoOnly,0.604858850822389,0.0265404741480123,0.486117306840344,Endo,RAD51B,0,68434182,chr14,131067,131068,intron,TRUE,LINE,L1,85
chr14_72645911,top1pcEndoOnly,0.883450588536625,0.000451565864339402,0.345811807255375,Endo,DPF3,0,72645911,chr14,129090,129091,intron,TRUE,LINE,L2,86
chr14_92261125,top1pcEndoOnly,0.425735491035024,0.0589349226664601,0.292291822447372,Endo,LOC105370627,26113,92261125,chr14,26113,-26114,intron,FALSE,,,87
chr14_96585335,top1pcEndoOnly,0.856711906493837,0.0200343625710887,0.0910500515118998,Endo,LOC105370645,7426,96585335,chr14,7426,-7427,intergenic,FALSE,,,88
chr14_97459083,top1pcEndoOnly,0.525389283886782,0.244816095710219,0.22349210706951,Endo,LINC02325,0,97459083,chr14,32011,32012,intron,FALSE,,,89
chr14_99617228,top1pcEndoOnly,0.550301060658995,0.0981917956010283,0.4860641077795,Endo,HHIPL1,0,99617228,chr14,12739,12740,intron,TRUE,LINE,L1,90
chr14_102126515,top1pcEndoOnly,0.559597132768109,0.177057989459854,0.415903155634594,Endo,HSP90AA1,0,102126515,chr14,12987,-12988,intron,FALSE,,,91
chr14_103332688,top1pcEndoOnly,0.59892714007004,0.101622667529071,0.190683318633001,Endo,EIF5-DT,320,103332688,chr14,320,-321,promoter,FALSE,,,92
chr14_104105553,top1pcEndoOnly,0.832547778206746,0.0425345661378495,0.496681447688298,Endo,ASPG,0,104105553,chr14,11851,-11852,promoter,FALSE,,,93
chr15_25644379,top1pcEndoOnly,0.692135732229915,0.188138969848578,0.383799838137679,Endo,LOC124903448,2601,25644379,chr15,7927,7928,intergenic,FALSE,,,94
chr15_37642362,top1pcEndoOnly,0.88613320926385,0.000128925821910619,0.19136034546052,Endo,LOC105370773,29389,37642362,chr15,29389,-29390,intergenic,FALSE,,,95
chr15_59863352,top1pcEndoOnly,0.857884866233692,0.208687084813871,0.451946598417142,Endo,FOXB1,140881,59863352,chr15,140881,-140882,intergenic,TRUE,SINE,Alu,96
chr15_60876327,top1pcEndoOnly,0.689530568486589,0.236571629791768,0.31029882869813,Endo,RORA,0,60876327,chr15,112733,112734,intron,FALSE,,,97
chr15_65305540,top1pcEndoOnly,0.44182705561829,0.178131055887844,0.146219043420221,Endo,RNU5B-1,746,65305540,chr15,862,863,promoter,TRUE,SINE,Alu,98
chr15_77815002,top1pcEndoOnly,0.837244053423728,0.00815782085798377,0.42080176838142,Endo,LINGO1,0,77815002,chr15,5897,5898,intron,FALSE,,,99
chr15_82808150,top1pcEndoOnly,0.52435169391165,0.234756007444941,0.259994061570893,Endo,WHAMM,1477,82808150,chr15,1477,-1478,promoter,FALSE,,,100
chr15_82850898,top1pcEndoOnly,0.79942551972576,0.179005959926387,0.503820617559096,Endo,HOMER2,0,82850898,chr15,41269,41270,promoter,FALSE,,,101
chr15_99438835,top1pcEndoOnly,0.76211094565849,0.173879095286359,0.335001851045109,Endo,LINC03080,0,99438835,chr15,13907,13908,intron,FALSE,,,102
chr15_101653213,top1pcEndoOnly,0.793863338237035,0.0798777431600191,0.400067196202906,Endo,TARS3,382,101653213,chr15,821,-822,promoter,FALSE,,,103
chr16_984377,top1pcEndoOnly,0.800627528874925,0.094242357578229,0.133261992226736,Endo,SOX8,0,984377,chr16,2701,-2702,exon,FALSE,,,104
chr16_2825470,top1pcEndoOnly,0.840253999067607,0.0542436472192602,0.0682298399911646,Endo,PRSS21,0,2825470,chr16,4782,-4783,intron,TRUE,SINE,MIR,105
chr16_10385715,top1pcEndoOnly,0.879061238788548,0.0626708717033241,0.308762751632482,Endo,ATF7IP2,0,10385715,chr16,59280,59281,promoter,FALSE,,,106
chr16_11330143,top1pcEndoOnly,0.66819716927245,0.033730766721554,0.230011785226138,Endo,RMI2,0,11330143,chr16,15150,15151,intron,FALSE,,,107
chr16_26750116,top1pcEndoOnly,0.440340543759499,0.262796494421187,0.284330215734219,Endo,LINC02195,151923,26750116,chr16,151923,-151924,intergenic,TRUE,SINE,Alu,108
chr16_27143556,top1pcEndoOnly,0.508767642254197,0.269151308147287,0.465225216793718,Endo,LINC02129,14894,27143556,chr16,34482,34483,intergenic,TRUE,SINE,Alu,109
chr16_27782241,top1pcEndoOnly,0.533334496539923,0.0595669291423264,0.160218598285103,Endo,KATNIP,1896,27782241,chr16,32065,-32066,intergenic,FALSE,,,110
chr16_28862806,top1pcEndoOnly,0.579759885629002,0.109831201720132,0.40026059622504,Endo,SH2B1,0,28862806,chr16,15598,-15599,promoter,TRUE,SINE,Alu,111
chr16_29829449,top1pcEndoOnly,0.966043309139857,0.150107858491605,0.444540039159554,Endo,MVP,0,29829449,chr16,8196,-8197,promoter,TRUE,SINE,Alu,112
chr16_31427636,top1pcEndoOnly,0.726775698446166,0.191200827197693,0.277734457063481,Endo,COX6A2,94,31427636,chr16,723,724,promoter,FALSE,,,113
chr16_31639411,top1pcEndoOnly,0.510447623435338,0.283566734764424,0.069191706219439,Endo,CLUHP3,61124,31639411,chr16,61124,-61125,intergenic,TRUE,DNA,TcMar-Tigger,114
chr16_32127597,top1pcEndoOnly,0.525429905903393,0.00448873698011064,0.0858956037799928,Endo,HERC2P4,24513,32127597,chr16,60528,60529,exon,FALSE,,,115
chr16_34663733,top1pcEndoOnly,0.63192317804491,0.117341317176091,0.138331720637077,Endo,LOC102724523,230028,34663733,chr16,231902,231903,intergenic,FALSE,,,116
chr16_49395896,top1pcEndoOnly,0.730573115636176,0.0804399894120528,0.295732225820076,Endo,C16orf78,0,49395896,chr16,22091,22092,intron,FALSE,,,117
chr16_57529241,top1pcEndoOnly,0.818356878720928,0.205512676935769,0.131540442855085,Endo,CCDC102A,0,57529241,chr16,7329,7330,exon,FALSE,,,118
chr16_73010278,top1pcEndoOnly,0.578995542198924,0.266030707074669,0.38929311314381,Endo,ZFHX3,0,73010278,chr16,82070,-82071,intron,FALSE,,,119
chr16_83267621,top1pcEndoOnly,0.767869742447944,0.100508003062688,0.191353815721191,Endo,CDH13,0,83267621,chr16,131969,131970,intron,TRUE,LTR,ERVL-MaLR,120
chr16_85509285,top1pcEndoOnly,0.637086071721051,0.118859449792373,0.203436501337004,Endo,GSE1,0,85509285,chr16,180787,180788,intron,FALSE,,,121
chr16_88116470,top1pcEndoOnly,0.858301677676886,0.219758175609483,0.346131658344756,Endo,ZNF469,0,88116470,chr16,14965,-14966,intron,TRUE,LINE,L1,122
chr16_88786563,top1pcEndoOnly,0.755552003521842,0.135610539208162,0.0448615432138314,Endo,PIEZO1,1342,88786563,chr16,1342,-1343,promoter,TRUE,SINE,Alu,123
chr16_88901804,top1pcEndoOnly,0.666279903602792,0.196557367617274,0.466545233705519,Endo,CBFA2T3,0,88901804,chr16,3115,-3116,intron,FALSE,,,124
chr17_4692189,top1pcEndoOnly,0.751165457009463,0.0919108039681226,0.0694581021202468,Endo,PELP1,0,4692189,chr17,11905,-11906,promoter,TRUE,SINE,Alu,125
chr17_6985285,top1pcEndoOnly,0.952725631899385,0.174880831722775,0.00284153949638335,Endo,LOC124903907,0,6985285,chr17,10763,-10764,exon,FALSE,,,126
chr17_16415616,top1pcEndoOnly,0.620889386388507,0.0632095071427851,0.332307374403584,Endo,TRPV2,0,16415616,chr17,44,45,promoter,FALSE,,,127
chr17_68247196,top1pcEndoOnly,0.582874995883787,0.0453380100725399,0.400853599124627,Endo,AMZ2,0,68247196,chr17,11985,-11986,promoter,TRUE,SINE,Alu,128
chr17_75539860,top1pcEndoOnly,0.612616655839444,0.0490772013628258,0.0657718490930541,Endo,LLGL2,0,75539860,chr17,14779,14780,intron,TRUE,SINE,Alu,129
chr17_81080366,top1pcEndoOnly,0.933677086968394,0.0863109413440991,0.336857751366927,Endo,BAIAP2,0,81080366,chr17,45006,45007,intron,FALSE,,,130
chr17_82000072,top1pcEndoOnly,0.917776239939582,0.242338478882483,0.412970469783585,Endo,ASPSCR1,0,82000072,chr17,23232,-23233,intron,FALSE,,,131
chr17_83200496,top1pcEndoOnly,0.894390682691086,0.0858782730985035,0.0401452164579719,Endo,LOC105371948,25,83200496,chr17,45182,45183,promoter,FALSE,,,132
chr18_14600023,top1pcEndoOnly,0.642644039431921,0.0247520592515181,0.198513558877232,Endo,LOC105372004,0,14600023,chr18,42531,42532,intron,FALSE,,,133
chr18_22530056,top1pcEndoOnly,0.579398686553366,0.00882192903397411,0.0791198239650559,Endo,LOC124904265,0,22530056,chr18,27013,27014,intron,TRUE,LINE,L1,134
chr18_36160184,top1pcEndoOnly,0.690074618495494,0.0487134979837215,0.504802404016902,Endo,ELP2,0,36160184,chr18,27289,27290,intron,FALSE,,,135
chr18_60868500,top1pcEndoOnly,0.451004057019632,0.265656329767091,0.219156128012193,Endo,LOC124904313,0,60868500,chr18,34225,34226,intron,TRUE,LINE,L1,136
chr18_77421661,top1pcEndoOnly,0.967582666484063,0.0914247549303289,0.454450420591009,Endo,LOC107985172,0,77421661,chr18,159,160,promoter,TRUE,LINE,L1,137
chr18_79643254,top1pcEndoOnly,0.761765150613698,0.268827581898983,0.384510717687436,Endo,LOC124904335,57014,79643254,chr18,57014,-57015,intron,FALSE,,,138
chr19_1081819,top1pcEndoOnly,0.421913538217383,0.143120509305061,0.493279159906744,Endo,ARHGAP45,0,1081819,chr19,13560,13561,promoter,FALSE,,,139
chr19_4208634,top1pcEndoOnly,0.589512226311939,0.144478995753773,0.315629418023498,Endo,ANKRD24,0,4208634,chr19,20888,-20889,promoter,FALSE,,,140
chr19_6933868,top1pcEndoOnly,0.729686304509953,0.279490744223173,0.389139179876901,Endo,ADGRE1,0,6933868,chr19,5173,5174,intron,FALSE,,,141
chr19_7620450,top1pcEndoOnly,0.694840777385952,0.11650553500261,0.454661818590329,Endo,XAB2,0,7620450,chr19,3010,3011,exon,FALSE,,,142
chr19_9960591,top1pcEndoOnly,0.585019176486254,0.209861959573419,0.450786722642585,Endo,COL5A3,0,9960591,chr19,24075,-24076,intron,FALSE,,,143
chr19_10547625,top1pcEndoOnly,0.436209478942618,0.171965063789373,0.00904904497978205,Endo,ATG4D,0,10547625,chr19,3729,3730,promoter,TRUE,SINE,Alu,144
chr19_14428342,top1pcEndoOnly,0.655385862679084,0.19417075204783,0.465597156497887,Endo,PKN1,4710,14428342,chr19,4710,-4711,intergenic,TRUE,SINE,Alu,145
chr19_17224895,top1pcEndoOnly,0.655671999608288,0.21929913500461,0.328384339516905,Endo,OCEL1,1317,17224895,chr19,1317,-1318,promoter,TRUE,SINE,Alu,146
chr19_19228631,top1pcEndoOnly,0.882783966972097,0.036812122240202,0.219953466932259,Endo,NCAN,0,19228631,chr19,16672,16673,exon,FALSE,,,147
chr19_38754365,top1pcEndoOnly,0.771703267934783,0.108954476859126,0.504839209914756,Endo,LOC107985291,25971,38754365,chr19,25971,-25972,intron,TRUE,LTR,ERV1,148
chr19_39437477,top1pcEndoOnly,0.781112208258083,0.216787732778047,0.285308289586425,Endo,SUPT5H,0,39437477,chr19,1320,1321,promoter,TRUE,SINE,Alu,149
chr19_47022375,top1pcEndoOnly,0.743863617161045,0.251268973255981,0.172539642573502,Endo,NPAS1,0,47022375,chr19,2537,2538,promoter,TRUE,SINE,MIR,150
chr19_47357047,top1pcEndoOnly,0.802251197371867,0.0730658146806389,0.49363358947658,Endo,DHX34,0,47357047,chr19,7734,7735,promoter,TRUE,SINE,Alu,151
chr19_48096320,top1pcEndoOnly,0.421785701470438,0.172763147529629,0.48660973365155,Endo,PLA2G4C,0,48096320,chr19,14496,14497,intron,TRUE,SINE,Alu,152
chr19_50259120,top1pcEndoOnly,0.457955981043121,0.0550612866356102,0.110283191475318,Endo,MYH14,0,50259120,chr19,55119,-55120,intron,FALSE,,,153
chr19_55032523,top1pcEndoOnly,0.798178232377192,0.196302302919499,0.0997040037067442,Endo,GP6-AS1,0,55032523,chr19,26370,26371,exon,FALSE,,,154
chr19_56667668,top1pcEndoOnly,0.828259285516083,0.238423780567264,0.413101655115325,Endo,ZNF835,0,56667668,chr19,2272,-2273,intron,TRUE,LTR,ERVL-MaLR,155
chr2_1220639,top1pcEndoOnly,0.652830481601912,0.192470640470716,0.233014411628473,Endo,TPO,153426,1220639,chr2,153426,-153427,intron,FALSE,,,156
chr2_70202883,top1pcEndoOnly,0.83773957485775,0.0139763061202947,0.178581626580428,Endo,C2orf42,0,70202883,chr2,45731,45732,intron,TRUE,LTR,ERVL,157
chr2_70896812,top1pcEndoOnly,0.618793051471433,0.137433525332295,0.299683446981653,Endo,VAX2,3763,70896812,chr2,3763,-3764,intron,FALSE,,,158
chr2_71024387,top1pcEndoOnly,0.571367133902219,0.0591639936948793,0.264048247806171,Endo,OR7E91P,0,71024387,chr2,351,352,exon,TRUE,LTR,ERV1,159
chr2_95526129,top1pcEndoOnly,0.474860524615203,0.132590150939801,0.286409999944149,Endo,TRIM43B,41374,95526129,chr2,41374,-41375,promoter,FALSE,,,160
