cpg_site,category,chr,pos,gene,gene_start,gene_end,in_gene_body,is_meso_hit
chr3_124905051,ambiguous,chr3,124905051,MUC13,124905442,124953819,FALSE,FALSE
chr3_124905123,ambiguous,chr3,124905123,MUC13,124905442,124953819,FALSE,FALSE
chr3_124905712,ambiguous,chr3,124905712,MUC13,124905442,124953819,TRUE,FALSE
chr3_124905722,constitutive,chr3,124905722,MUC13,124905442,124953819,TRUE,FALSE
chr3_124905752,constitutive,chr3,124905752,MUC13,124905442,124953819,TRUE,FALSE
chr3_124906108,ambiguous,chr3,124906108,MUC13,124905442,124953819,TRUE,FALSE
chr3_124906299,ambiguous,chr3,124906299,MUC13,124905442,124953819,TRUE,FALSE
chr3_124906318,constitutive,chr3,124906318,MUC13,124905442,124953819,TRUE,FALSE
chr3_124906509,constitutive,chr3,124906509,MUC13,124905442,124953819,TRUE,FALSE
chr3_124906569,ambiguous,chr3,124906569,MUC13,124905442,124953819,TRUE,FALSE
chr3_124906632,ambiguous,chr3,124906632,MUC13,124905442,124953819,TRUE,FALSE
chr3_124906721,constitutive,chr3,124906721,MUC13,124905442,124953819,TRUE,FALSE
chr3_124906808,ambiguous,chr3,124906808,MUC13,124905442,124953819,TRUE,FALSE
chr3_124907381,ambiguous,chr3,124907381,MUC13,124905442,124953819,TRUE,FALSE
chr3_124907386,constitutive,chr3,124907386,MUC13,124905442,124953819,TRUE,FALSE
chr3_124907483,constitutive,chr3,124907483,MUC13,124905442,124953819,TRUE,FALSE
chr3_124907572,constitutive,chr3,124907572,MUC13,124905442,124953819,TRUE,FALSE
chr3_124907698,constitutive,chr3,124907698,MUC13,124905442,124953819,TRUE,FALSE
chr3_124907714,constitutive,chr3,124907714,MUC13,124905442,124953819,TRUE,FALSE
chr3_124907846,ambiguous,chr3,124907846,MUC13,124905442,124953819,TRUE,FALSE
chr3_124907978,ambiguous,chr3,124907978,MUC13,124905442,124953819,TRUE,FALSE
chr3_124908052,ambiguous,chr3,124908052,MUC13,124905442,124953819,TRUE,FALSE
chr3_124908160,constitutive,chr3,124908160,MUC13,124905442,124953819,TRUE,FALSE
chr3_124908216,ambiguous,chr3,124908216,MUC13,124905442,124953819,TRUE,FALSE
chr3_124908239,ambiguous,chr3,124908239,MUC13,124905442,124953819,TRUE,FALSE
chr3_124908273,ambiguous,chr3,124908273,MUC13,124905442,124953819,TRUE,FALSE
chr3_124908277,constitutive,chr3,124908277,MUC13,124905442,124953819,TRUE,FALSE
chr3_124908302,constitutive,chr3,124908302,MUC13,124905442,124953819,TRUE,FALSE
chr3_124908333,ambiguous,chr3,124908333,MUC13,124905442,124953819,TRUE,FALSE
chr3_124908489,constitutive,chr3,124908489,MUC13,124905442,124953819,TRUE,FALSE
chr3_124908691,constitutive,chr3,124908691,MUC13,124905442,124953819,TRUE,FALSE
chr3_124908826,ambiguous,chr3,124908826,MUC13,124905442,124953819,TRUE,FALSE
chr3_124908869,ambiguous,chr3,124908869,MUC13,124905442,124953819,TRUE,FALSE
chr3_124908919,ambiguous,chr3,124908919,MUC13,124905442,124953819,TRUE,FALSE
chr3_124908951,ambiguous,chr3,124908951,MUC13,124905442,124953819,TRUE,FALSE
chr3_124908982,ambiguous,chr3,124908982,MUC13,124905442,124953819,TRUE,FALSE
chr3_124909046,ambiguous,chr3,124909046,MUC13,124905442,124953819,TRUE,FALSE
chr3_124909054,constitutive,chr3,124909054,MUC13,124905442,124953819,TRUE,FALSE
chr3_124909059,constitutive,chr3,124909059,MUC13,124905442,124953819,TRUE,FALSE
chr3_124909068,constitutive,chr3,124909068,MUC13,124905442,124953819,TRUE,FALSE
chr3_124909097,constitutive,chr3,124909097,MUC13,124905442,124953819,TRUE,FALSE
chr3_124909132,constitutive,chr3,124909132,MUC13,124905442,124953819,TRUE,FALSE
chr3_124909473,ambiguous,chr3,124909473,MUC13,124905442,124953819,TRUE,FALSE
chr3_124909663,constitutive,chr3,124909663,MUC13,124905442,124953819,TRUE,FALSE
chr3_124909670,ambiguous,chr3,124909670,MUC13,124905442,124953819,TRUE,FALSE
chr3_124909875,constitutive,chr3,124909875,MUC13,124905442,124953819,TRUE,FALSE
chr3_124910039,ambiguous,chr3,124910039,MUC13,124905442,124953819,TRUE,FALSE
chr3_124910233,constitutive,chr3,124910233,MUC13,124905442,124953819,TRUE,FALSE
chr3_124910331,ambiguous,chr3,124910331,MUC13,124905442,124953819,TRUE,FALSE
chr3_124910464,constitutive,chr3,124910464,MUC13,124905442,124953819,TRUE,FALSE
chr3_124910567,ambiguous,chr3,124910567,MUC13,124905442,124953819,TRUE,FALSE
chr3_124910599,constitutive,chr3,124910599,MUC13,124905442,124953819,TRUE,FALSE
chr3_124910950,ambiguous,chr3,124910950,MUC13,124905442,124953819,TRUE,FALSE
chr3_124911014,ambiguous,chr3,124911014,MUC13,124905442,124953819,TRUE,FALSE
chr3_124911276,constitutive,chr3,124911276,MUC13,124905442,124953819,TRUE,FALSE
chr3_124912116,ambiguous,chr3,124912116,MUC13,124905442,124953819,TRUE,FALSE
chr3_124912349,constitutive,chr3,124912349,MUC13,124905442,124953819,TRUE,FALSE
chr3_124912397,constitutive,chr3,124912397,MUC13,124905442,124953819,TRUE,FALSE
chr3_124912478,constitutive,chr3,124912478,MUC13,124905442,124953819,TRUE,FALSE
chr3_124912675,constitutive,chr3,124912675,MUC13,124905442,124953819,TRUE,FALSE
chr3_124912703,constitutive,chr3,124912703,MUC13,124905442,124953819,TRUE,FALSE
chr3_124912764,constitutive,chr3,124912764,MUC13,124905442,124953819,TRUE,FALSE
chr3_124912828,constitutive,chr3,124912828,MUC13,124905442,124953819,TRUE,FALSE
chr3_124913040,constitutive,chr3,124913040,MUC13,124905442,124953819,TRUE,FALSE
chr3_124913145,constitutive,chr3,124913145,MUC13,124905442,124953819,TRUE,FALSE
chr3_124913151,constitutive,chr3,124913151,MUC13,124905442,124953819,TRUE,FALSE
chr3_124913155,constitutive,chr3,124913155,MUC13,124905442,124953819,TRUE,FALSE
chr3_124913208,ambiguous,chr3,124913208,MUC13,124905442,124953819,TRUE,FALSE
chr3_124913457,constitutive,chr3,124913457,MUC13,124905442,124953819,TRUE,FALSE
chr3_124913613,constitutive,chr3,124913613,MUC13,124905442,124953819,TRUE,FALSE
chr3_124913641,constitutive,chr3,124913641,MUC13,124905442,124953819,TRUE,FALSE
chr3_124913672,constitutive,chr3,124913672,MUC13,124905442,124953819,TRUE,FALSE
chr3_124913856,ambiguous,chr3,124913856,MUC13,124905442,124953819,TRUE,FALSE
chr3_124914040,constitutive,chr3,124914040,MUC13,124905442,124953819,TRUE,FALSE
chr3_124914149,ambiguous,chr3,124914149,MUC13,124905442,124953819,TRUE,FALSE
chr3_124914177,constitutive,chr3,124914177,MUC13,124905442,124953819,TRUE,FALSE
chr3_124914193,constitutive,chr3,124914193,MUC13,124905442,124953819,TRUE,FALSE
chr3_124914263,ambiguous,chr3,124914263,MUC13,124905442,124953819,TRUE,FALSE
chr3_124914341,constitutive,chr3,124914341,MUC13,124905442,124953819,TRUE,FALSE
chr3_124914358,constitutive,chr3,124914358,MUC13,124905442,124953819,TRUE,FALSE
chr3_124914364,constitutive,chr3,124914364,MUC13,124905442,124953819,TRUE,FALSE
chr3_124914405,constitutive,chr3,124914405,MUC13,124905442,124953819,TRUE,FALSE
chr3_124914410,constitutive,chr3,124914410,MUC13,124905442,124953819,TRUE,FALSE
chr3_124914622,constitutive,chr3,124914622,MUC13,124905442,124953819,TRUE,FALSE
chr3_124914644,constitutive,chr3,124914644,MUC13,124905442,124953819,TRUE,FALSE
chr3_124914697,ambiguous,chr3,124914697,MUC13,124905442,124953819,TRUE,FALSE
chr3_124914747,constitutive,chr3,124914747,MUC13,124905442,124953819,TRUE,FALSE
chr3_124914754,constitutive,chr3,124914754,MUC13,124905442,124953819,TRUE,FALSE
chr3_124914786,constitutive,chr3,124914786,MUC13,124905442,124953819,TRUE,FALSE
chr3_124914818,constitutive,chr3,124914818,MUC13,124905442,124953819,TRUE,FALSE
chr3_124914840,constitutive,chr3,124914840,MUC13,124905442,124953819,TRUE,FALSE
chr3_124914850,constitutive,chr3,124914850,MUC13,124905442,124953819,TRUE,FALSE
chr3_124915009,constitutive,chr3,124915009,MUC13,124905442,124953819,TRUE,FALSE
chr3_124915015,constitutive,chr3,124915015,MUC13,124905442,124953819,TRUE,FALSE
chr3_124915036,constitutive,chr3,124915036,MUC13,124905442,124953819,TRUE,FALSE
chr3_124915175,constitutive,chr3,124915175,MUC13,124905442,124953819,TRUE,FALSE
chr3_124915317,constitutive,chr3,124915317,MUC13,124905442,124953819,TRUE,FALSE
chr3_124915629,constitutive,chr3,124915629,MUC13,124905442,124953819,TRUE,FALSE
chr3_124915643,constitutive,chr3,124915643,MUC13,124905442,124953819,TRUE,FALSE
chr3_124915672,constitutive,chr3,124915672,MUC13,124905442,124953819,TRUE,FALSE
chr3_124915699,constitutive,chr3,124915699,MUC13,124905442,124953819,TRUE,FALSE
chr3_124915746,constitutive,chr3,124915746,MUC13,124905442,124953819,TRUE,FALSE
chr3_124915920,constitutive,chr3,124915920,MUC13,124905442,124953819,TRUE,FALSE
chr3_124916090,ambiguous,chr3,124916090,MUC13,124905442,124953819,TRUE,FALSE
chr3_124916156,constitutive,chr3,124916156,MUC13,124905442,124953819,TRUE,FALSE
chr3_124916451,constitutive,chr3,124916451,MUC13,124905442,124953819,TRUE,FALSE
chr3_124916556,ME,chr3,124916556,MUC13,124905442,124953819,TRUE,FALSE
chr3_124916565,constitutive,chr3,124916565,MUC13,124905442,124953819,TRUE,FALSE
chr3_124916582,constitutive,chr3,124916582,MUC13,124905442,124953819,TRUE,FALSE
chr3_124916603,constitutive,chr3,124916603,MUC13,124905442,124953819,TRUE,FALSE
chr3_124916622,ambiguous,chr3,124916622,MUC13,124905442,124953819,TRUE,FALSE
chr3_124916897,ambiguous,chr3,124916897,MUC13,124905442,124953819,TRUE,FALSE
chr3_124916899,ambiguous,chr3,124916899,MUC13,124905442,124953819,TRUE,FALSE
chr3_124917023,ambiguous,chr3,124917023,MUC13,124905442,124953819,TRUE,FALSE
chr3_124917054,ambiguous,chr3,124917054,MUC13,124905442,124953819,TRUE,FALSE
chr3_124917062,ambiguous,chr3,124917062,MUC13,124905442,124953819,TRUE,FALSE
chr3_124917162,ambiguous,chr3,124917162,MUC13,124905442,124953819,TRUE,FALSE
chr3_124917282,ambiguous,chr3,124917282,MUC13,124905442,124953819,TRUE,FALSE
chr3_124917401,constitutive,chr3,124917401,MUC13,124905442,124953819,TRUE,FALSE
chr3_124917415,constitutive,chr3,124917415,MUC13,124905442,124953819,TRUE,FALSE
chr3_124917458,constitutive,chr3,124917458,MUC13,124905442,124953819,TRUE,FALSE
chr3_124917493,constitutive,chr3,124917493,MUC13,124905442,124953819,TRUE,FALSE
chr3_124917495,constitutive,chr3,124917495,MUC13,124905442,124953819,TRUE,FALSE
chr3_124917501,constitutive,chr3,124917501,MUC13,124905442,124953819,TRUE,FALSE
chr3_124917531,ambiguous,chr3,124917531,MUC13,124905442,124953819,TRUE,FALSE
chr3_124917754,ambiguous,chr3,124917754,MUC13,124905442,124953819,TRUE,FALSE
chr3_124917760,ambiguous,chr3,124917760,MUC13,124905442,124953819,TRUE,FALSE
chr3_124917769,ambiguous,chr3,124917769,MUC13,124905442,124953819,TRUE,FALSE
chr3_124917950,constitutive,chr3,124917950,MUC13,124905442,124953819,TRUE,FALSE
chr3_124917966,constitutive,chr3,124917966,MUC13,124905442,124953819,TRUE,FALSE
chr3_124918012,ambiguous,chr3,124918012,MUC13,124905442,124953819,TRUE,FALSE
chr3_124918047,constitutive,chr3,124918047,MUC13,124905442,124953819,TRUE,FALSE
chr3_124918062,constitutive,chr3,124918062,MUC13,124905442,124953819,TRUE,FALSE
chr3_124918087,constitutive,chr3,124918087,MUC13,124905442,124953819,TRUE,FALSE
chr3_124918637,constitutive,chr3,124918637,MUC13,124905442,124953819,TRUE,FALSE
chr3_124918831,constitutive,chr3,124918831,MUC13,124905442,124953819,TRUE,FALSE
chr3_124919133,constitutive,chr3,124919133,MUC13,124905442,124953819,TRUE,FALSE
chr3_124919164,constitutive,chr3,124919164,MUC13,124905442,124953819,TRUE,FALSE
chr3_124919197,constitutive,chr3,124919197,MUC13,124905442,124953819,TRUE,FALSE
chr3_124919251,constitutive,chr3,124919251,MUC13,124905442,124953819,TRUE,FALSE
chr3_124919566,constitutive,chr3,124919566,MUC13,124905442,124953819,TRUE,FALSE
chr3_124919628,ambiguous,chr3,124919628,MUC13,124905442,124953819,TRUE,FALSE
chr3_124919861,ambiguous,chr3,124919861,MUC13,124905442,124953819,TRUE,FALSE
chr3_124919881,ambiguous,chr3,124919881,MUC13,124905442,124953819,TRUE,FALSE
chr3_124920181,constitutive,chr3,124920181,MUC13,124905442,124953819,TRUE,FALSE
chr3_124920664,constitutive,chr3,124920664,MUC13,124905442,124953819,TRUE,FALSE
chr3_124920838,ambiguous,chr3,124920838,MUC13,124905442,124953819,TRUE,FALSE
chr3_124920969,ambiguous,chr3,124920969,MUC13,124905442,124953819,TRUE,FALSE
chr3_124920977,Ecto_specific,chr3,124920977,MUC13,124905442,124953819,TRUE,FALSE
chr3_124920998,Ecto_specific,chr3,124920998,MUC13,124905442,124953819,TRUE,FALSE
chr3_124921042,Ecto_specific,chr3,124921042,MUC13,124905442,124953819,TRUE,FALSE
chr3_124921294,constitutive,chr3,124921294,MUC13,124905442,124953819,TRUE,FALSE
chr3_124921306,constitutive,chr3,124921306,MUC13,124905442,124953819,TRUE,FALSE
chr3_124921397,constitutive,chr3,124921397,MUC13,124905442,124953819,TRUE,FALSE
chr3_124921426,constitutive,chr3,124921426,MUC13,124905442,124953819,TRUE,FALSE
chr3_124921947,ambiguous,chr3,124921947,MUC13,124905442,124953819,TRUE,FALSE
chr3_124922023,ambiguous,chr3,124922023,MUC13,124905442,124953819,TRUE,FALSE
chr3_124922032,constitutive,chr3,124922032,MUC13,124905442,124953819,TRUE,FALSE
chr3_124922055,constitutive,chr3,124922055,MUC13,124905442,124953819,TRUE,FALSE
chr3_124922095,ambiguous,chr3,124922095,MUC13,124905442,124953819,TRUE,FALSE
chr3_124922103,ambiguous,chr3,124922103,MUC13,124905442,124953819,TRUE,FALSE
chr3_124922107,ambiguous,chr3,124922107,MUC13,124905442,124953819,TRUE,FALSE
chr3_124922408,constitutive,chr3,124922408,MUC13,124905442,124953819,TRUE,FALSE
chr3_124922580,ambiguous,chr3,124922580,MUC13,124905442,124953819,TRUE,FALSE
chr3_124923468,constitutive,chr3,124923468,MUC13,124905442,124953819,TRUE,FALSE
chr3_124923606,ambiguous,chr3,124923606,MUC13,124905442,124953819,TRUE,FALSE
chr3_124923711,ambiguous,chr3,124923711,MUC13,124905442,124953819,TRUE,FALSE
chr3_124924950,constitutive,chr3,124924950,MUC13,124905442,124953819,TRUE,FALSE
chr3_124925085,ambiguous,chr3,124925085,MUC13,124905442,124953819,TRUE,FALSE
chr3_124925218,ambiguous,chr3,124925218,MUC13,124905442,124953819,TRUE,FALSE
chr3_124925420,ambiguous,chr3,124925420,MUC13,124905442,124953819,TRUE,FALSE
chr3_124925894,constitutive,chr3,124925894,MUC13,124905442,124953819,TRUE,FALSE
chr3_124926168,ambiguous,chr3,124926168,MUC13,124905442,124953819,TRUE,FALSE
chr3_124926266,constitutive,chr3,124926266,MUC13,124905442,124953819,TRUE,FALSE
chr3_124926386,constitutive,chr3,124926386,MUC13,124905442,124953819,TRUE,FALSE
chr3_124926452,constitutive,chr3,124926452,MUC13,124905442,124953819,TRUE,FALSE
chr3_124926704,ambiguous,chr3,124926704,MUC13,124905442,124953819,TRUE,FALSE
chr3_124926742,ambiguous,chr3,124926742,MUC13,124905442,124953819,TRUE,FALSE
chr3_124926867,ambiguous,chr3,124926867,MUC13,124905442,124953819,TRUE,FALSE
chr3_124927565,constitutive,chr3,124927565,MUC13,124905442,124953819,TRUE,FALSE
chr3_124927679,constitutive,chr3,124927679,MUC13,124905442,124953819,TRUE,FALSE
chr3_124927944,constitutive,chr3,124927944,MUC13,124905442,124953819,TRUE,FALSE
chr3_124928677,ambiguous,chr3,124928677,MUC13,124905442,124953819,TRUE,FALSE
chr3_124928741,ambiguous,chr3,124928741,MUC13,124905442,124953819,TRUE,FALSE
chr3_124928814,constitutive,chr3,124928814,MUC13,124905442,124953819,TRUE,FALSE
chr3_124929087,ambiguous,chr3,124929087,MUC13,124905442,124953819,TRUE,FALSE
chr3_124929257,ambiguous,chr3,124929257,MUC13,124905442,124953819,TRUE,FALSE
chr3_124929297,ambiguous,chr3,124929297,MUC13,124905442,124953819,TRUE,FALSE
chr3_124929699,ambiguous,chr3,124929699,MUC13,124905442,124953819,TRUE,FALSE
chr3_124929879,ambiguous,chr3,124929879,MUC13,124905442,124953819,TRUE,FALSE
chr3_124929933,ambiguous,chr3,124929933,MUC13,124905442,124953819,TRUE,FALSE
chr3_124929957,ambiguous,chr3,124929957,MUC13,124905442,124953819,TRUE,FALSE
chr3_124929973,ambiguous,chr3,124929973,MUC13,124905442,124953819,TRUE,FALSE
chr3_124930008,ambiguous,chr3,124930008,MUC13,124905442,124953819,TRUE,FALSE
chr3_124930114,ambiguous,chr3,124930114,MUC13,124905442,124953819,TRUE,FALSE
chr3_124930118,ambiguous,chr3,124930118,MUC13,124905442,124953819,TRUE,FALSE
chr3_124930623,ambiguous,chr3,124930623,MUC13,124905442,124953819,TRUE,FALSE
chr3_124930771,ambiguous,chr3,124930771,MUC13,124905442,124953819,TRUE,FALSE
chr3_124930960,constitutive,chr3,124930960,MUC13,124905442,124953819,TRUE,FALSE
chr3_124931011,ambiguous,chr3,124931011,MUC13,124905442,124953819,TRUE,FALSE
chr3_124931116,constitutive,chr3,124931116,MUC13,124905442,124953819,TRUE,FALSE
chr3_124931182,constitutive,chr3,124931182,MUC13,124905442,124953819,TRUE,FALSE
chr3_124931303,constitutive,chr3,124931303,MUC13,124905442,124953819,TRUE,FALSE
chr3_124931374,constitutive,chr3,124931374,MUC13,124905442,124953819,TRUE,FALSE
chr3_124931385,constitutive,chr3,124931385,MUC13,124905442,124953819,TRUE,FALSE
chr3_124931417,constitutive,chr3,124931417,MUC13,124905442,124953819,TRUE,FALSE
chr3_124931473,constitutive,chr3,124931473,MUC13,124905442,124953819,TRUE,FALSE
chr3_124931475,constitutive,chr3,124931475,MUC13,124905442,124953819,TRUE,FALSE
chr3_124931513,constitutive,chr3,124931513,MUC13,124905442,124953819,TRUE,FALSE
chr3_124931518,constitutive,chr3,124931518,MUC13,124905442,124953819,TRUE,FALSE
chr3_124931726,constitutive,chr3,124931726,MUC13,124905442,124953819,TRUE,FALSE
chr3_124931770,constitutive,chr3,124931770,MUC13,124905442,124953819,TRUE,FALSE
chr3_124931772,constitutive,chr3,124931772,MUC13,124905442,124953819,TRUE,FALSE
chr3_124931782,constitutive,chr3,124931782,MUC13,124905442,124953819,TRUE,FALSE
chr3_124931819,constitutive,chr3,124931819,MUC13,124905442,124953819,TRUE,FALSE
chr3_124931840,constitutive,chr3,124931840,MUC13,124905442,124953819,TRUE,FALSE
chr3_124931871,constitutive,chr3,124931871,MUC13,124905442,124953819,TRUE,FALSE
chr3_124931976,constitutive,chr3,124931976,MUC13,124905442,124953819,TRUE,FALSE
chr3_124932001,constitutive,chr3,124932001,MUC13,124905442,124953819,TRUE,FALSE
chr3_124932291,constitutive,chr3,124932291,MUC13,124905442,124953819,TRUE,FALSE
chr3_124932303,ambiguous,chr3,124932303,MUC13,124905442,124953819,TRUE,FALSE
chr3_124932497,constitutive,chr3,124932497,MUC13,124905442,124953819,TRUE,FALSE
chr3_124932520,ambiguous,chr3,124932520,MUC13,124905442,124953819,TRUE,FALSE
chr3_124932544,ambiguous,chr3,124932544,MUC13,124905442,124953819,TRUE,FALSE
chr3_124932560,ambiguous,chr3,124932560,MUC13,124905442,124953819,TRUE,FALSE
chr3_124932667,constitutive,chr3,124932667,MUC13,124905442,124953819,TRUE,FALSE
chr3_124932958,ambiguous,chr3,124932958,MUC13,124905442,124953819,TRUE,FALSE
chr3_124933465,ambiguous,chr3,124933465,MUC13,124905442,124953819,TRUE,FALSE
chr3_124933946,constitutive,chr3,124933946,MUC13,124905442,124953819,TRUE,FALSE
chr3_124934054,constitutive,chr3,124934054,MUC13,124905442,124953819,TRUE,FALSE
chr3_124934202,constitutive,chr3,124934202,MUC13,124905442,124953819,TRUE,FALSE
chr3_124934249,ME,chr3,124934249,MUC13,124905442,124953819,TRUE,FALSE
chr3_124934259,constitutive,chr3,124934259,MUC13,124905442,124953819,TRUE,FALSE
chr3_124934309,ME,chr3,124934309,MUC13,124905442,124953819,TRUE,FALSE
chr3_124934411,constitutive,chr3,124934411,MUC13,124905442,124953819,TRUE,FALSE
chr3_124934439,constitutive,chr3,124934439,MUC13,124905442,124953819,TRUE,FALSE
chr3_124934449,constitutive,chr3,124934449,MUC13,124905442,124953819,TRUE,FALSE
chr3_124934451,constitutive,chr3,124934451,MUC13,124905442,124953819,TRUE,FALSE
chr3_124934772,ambiguous,chr3,124934772,MUC13,124905442,124953819,TRUE,FALSE
chr3_124934788,ambiguous,chr3,124934788,MUC13,124905442,124953819,TRUE,FALSE
chr3_124934815,ambiguous,chr3,124934815,MUC13,124905442,124953819,TRUE,FALSE
chr3_124934874,ambiguous,chr3,124934874,MUC13,124905442,124953819,TRUE,FALSE
chr3_124934910,ambiguous,chr3,124934910,MUC13,124905442,124953819,TRUE,FALSE
chr3_124935213,constitutive,chr3,124935213,MUC13,124905442,124953819,TRUE,FALSE
chr3_124935725,ambiguous,chr3,124935725,MUC13,124905442,124953819,TRUE,FALSE
chr3_124935749,ambiguous,chr3,124935749,MUC13,124905442,124953819,TRUE,FALSE
chr3_124935965,ambiguous,chr3,124935965,MUC13,124905442,124953819,TRUE,FALSE
chr3_124936041,ambiguous,chr3,124936041,MUC13,124905442,124953819,TRUE,FALSE
chr3_124936311,ambiguous,chr3,124936311,MUC13,124905442,124953819,TRUE,FALSE
chr3_124936346,ambiguous,chr3,124936346,MUC13,124905442,124953819,TRUE,FALSE
chr3_124936363,ambiguous,chr3,124936363,MUC13,124905442,124953819,TRUE,FALSE
chr3_124936661,constitutive,chr3,124936661,MUC13,124905442,124953819,TRUE,FALSE
chr3_124936682,constitutive,chr3,124936682,MUC13,124905442,124953819,TRUE,FALSE
chr3_124936843,constitutive,chr3,124936843,MUC13,124905442,124953819,TRUE,FALSE
chr3_124936948,constitutive,chr3,124936948,MUC13,124905442,124953819,TRUE,FALSE
chr3_124936979,constitutive,chr3,124936979,MUC13,124905442,124953819,TRUE,FALSE
chr3_124937009,constitutive,chr3,124937009,MUC13,124905442,124953819,TRUE,FALSE
chr3_124937022,constitutive,chr3,124937022,MUC13,124905442,124953819,TRUE,FALSE
chr3_124937248,constitutive,chr3,124937248,MUC13,124905442,124953819,TRUE,FALSE
