cpg_site,category,chr,pos,gene,gene_start,gene_end,in_gene_body,is_endo_hit
chr15_100916111,ME,chr15,100916111,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100916136,constitutive,chr15,100916136,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100916325,constitutive,chr15,100916325,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100916354,constitutive,chr15,100916354,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100916561,constitutive,chr15,100916561,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100916592,constitutive,chr15,100916592,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100916667,constitutive,chr15,100916667,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100916700,constitutive,chr15,100916700,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100916764,constitutive,chr15,100916764,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100916931,constitutive,chr15,100916931,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100916963,constitutive,chr15,100916963,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100916984,constitutive,chr15,100916984,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100917114,ambiguous,chr15,100917114,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100917127,constitutive,chr15,100917127,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100917451,ambiguous,chr15,100917451,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100917484,ambiguous,chr15,100917484,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100917616,ambiguous,chr15,100917616,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100917657,ambiguous,chr15,100917657,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100917699,ambiguous,chr15,100917699,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100917907,ambiguous,chr15,100917907,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100917922,ambiguous,chr15,100917922,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100917961,constitutive,chr15,100917961,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100917981,ambiguous,chr15,100917981,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100917983,constitutive,chr15,100917983,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918082,constitutive,chr15,100918082,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918084,constitutive,chr15,100918084,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918096,constitutive,chr15,100918096,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918104,constitutive,chr15,100918104,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918119,constitutive,chr15,100918119,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918127,constitutive,chr15,100918127,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918129,constitutive,chr15,100918129,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918135,constitutive,chr15,100918135,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918145,constitutive,chr15,100918145,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918153,constitutive,chr15,100918153,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918155,constitutive,chr15,100918155,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918174,constitutive,chr15,100918174,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918177,constitutive,chr15,100918177,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918180,constitutive,chr15,100918180,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918182,constitutive,chr15,100918182,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918210,constitutive,chr15,100918210,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918236,constitutive,chr15,100918236,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918310,constitutive,chr15,100918310,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918330,constitutive,chr15,100918330,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918365,ambiguous,chr15,100918365,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918375,constitutive,chr15,100918375,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918410,ambiguous,chr15,100918410,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918424,constitutive,chr15,100918424,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918430,constitutive,chr15,100918430,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918432,constitutive,chr15,100918432,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918435,constitutive,chr15,100918435,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918439,constitutive,chr15,100918439,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918525,constitutive,chr15,100918525,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918529,constitutive,chr15,100918529,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918562,ambiguous,chr15,100918562,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918578,ambiguous,chr15,100918578,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918616,constitutive,chr15,100918616,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918621,constitutive,chr15,100918621,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918626,constitutive,chr15,100918626,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918638,constitutive,chr15,100918638,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918647,constitutive,chr15,100918647,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918656,constitutive,chr15,100918656,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918662,constitutive,chr15,100918662,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918684,constitutive,chr15,100918684,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918715,constitutive,chr15,100918715,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918731,ambiguous,chr15,100918731,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918738,constitutive,chr15,100918738,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918759,constitutive,chr15,100918759,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918783,constitutive,chr15,100918783,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918804,constitutive,chr15,100918804,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918881,constitutive,chr15,100918881,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918887,constitutive,chr15,100918887,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918897,constitutive,chr15,100918897,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918913,constitutive,chr15,100918913,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918918,constitutive,chr15,100918918,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918932,constitutive,chr15,100918932,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918949,constitutive,chr15,100918949,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918966,constitutive,chr15,100918966,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918970,constitutive,chr15,100918970,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918984,constitutive,chr15,100918984,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918990,constitutive,chr15,100918990,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100918992,constitutive,chr15,100918992,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100919041,constitutive,chr15,100919041,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100919047,constitutive,chr15,100919047,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100919064,constitutive,chr15,100919064,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100919069,constitutive,chr15,100919069,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100919078,constitutive,chr15,100919078,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100919081,constitutive,chr15,100919081,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100919083,constitutive,chr15,100919083,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100919087,constitutive,chr15,100919087,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100919092,constitutive,chr15,100919092,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100919094,constitutive,chr15,100919094,LRRK1,100919327,101078257,FALSE,FALSE
chr15_100919872,constitutive,chr15,100919872,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100919879,ambiguous,chr15,100919879,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100919883,constitutive,chr15,100919883,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100919894,constitutive,chr15,100919894,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100919896,constitutive,chr15,100919896,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100919898,ambiguous,chr15,100919898,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100919908,constitutive,chr15,100919908,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100919913,constitutive,chr15,100919913,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100919921,constitutive,chr15,100919921,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100920114,ambiguous,chr15,100920114,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100920116,ambiguous,chr15,100920116,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100920138,ambiguous,chr15,100920138,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100920147,ambiguous,chr15,100920147,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100920155,ambiguous,chr15,100920155,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100920180,ambiguous,chr15,100920180,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100920217,ambiguous,chr15,100920217,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100920219,ambiguous,chr15,100920219,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100920235,ambiguous,chr15,100920235,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100920265,ambiguous,chr15,100920265,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100920297,ambiguous,chr15,100920297,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100920405,ambiguous,chr15,100920405,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100920508,constitutive,chr15,100920508,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100920540,ambiguous,chr15,100920540,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100920746,ambiguous,chr15,100920746,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100920838,ambiguous,chr15,100920838,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100920896,ambiguous,chr15,100920896,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100921207,constitutive,chr15,100921207,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100921558,ambiguous,chr15,100921558,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100921834,ambiguous,chr15,100921834,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100921862,ambiguous,chr15,100921862,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100921937,ambiguous,chr15,100921937,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100921969,ambiguous,chr15,100921969,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100922007,constitutive,chr15,100922007,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100922509,ambiguous,chr15,100922509,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100922542,ambiguous,chr15,100922542,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100922617,ambiguous,chr15,100922617,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100922622,ambiguous,chr15,100922622,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100922764,ambiguous,chr15,100922764,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100922820,ambiguous,chr15,100922820,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100922908,ambiguous,chr15,100922908,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100922991,ambiguous,chr15,100922991,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100923008,ambiguous,chr15,100923008,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100923029,ambiguous,chr15,100923029,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100923102,constitutive,chr15,100923102,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100923122,ambiguous,chr15,100923122,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100923158,ambiguous,chr15,100923158,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100923222,ambiguous,chr15,100923222,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100923298,ambiguous,chr15,100923298,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100923331,ambiguous,chr15,100923331,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100923337,ambiguous,chr15,100923337,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100923480,ambiguous,chr15,100923480,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100923524,ambiguous,chr15,100923524,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100923939,constitutive,chr15,100923939,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100924039,constitutive,chr15,100924039,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100924073,ambiguous,chr15,100924073,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100924096,ambiguous,chr15,100924096,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100924229,constitutive,chr15,100924229,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100924326,ambiguous,chr15,100924326,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100924502,constitutive,chr15,100924502,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100924542,ambiguous,chr15,100924542,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100924550,constitutive,chr15,100924550,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100924574,constitutive,chr15,100924574,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100924595,constitutive,chr15,100924595,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100924615,ambiguous,chr15,100924615,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100924646,ambiguous,chr15,100924646,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100924682,ambiguous,chr15,100924682,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100924708,ambiguous,chr15,100924708,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100924721,constitutive,chr15,100924721,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100924728,ambiguous,chr15,100924728,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100925100,constitutive,chr15,100925100,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100925241,constitutive,chr15,100925241,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100925281,constitutive,chr15,100925281,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100925328,ambiguous,chr15,100925328,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100925376,ambiguous,chr15,100925376,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100925402,ambiguous,chr15,100925402,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100925575,ambiguous,chr15,100925575,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100925591,ambiguous,chr15,100925591,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100925610,constitutive,chr15,100925610,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100925650,ambiguous,chr15,100925650,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100925717,constitutive,chr15,100925717,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100925771,constitutive,chr15,100925771,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100925814,ambiguous,chr15,100925814,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100925949,ambiguous,chr15,100925949,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100925965,constitutive,chr15,100925965,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100925977,ambiguous,chr15,100925977,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100925981,constitutive,chr15,100925981,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100926086,constitutive,chr15,100926086,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100926119,constitutive,chr15,100926119,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100926208,constitutive,chr15,100926208,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100926263,constitutive,chr15,100926263,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100926271,constitutive,chr15,100926271,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100926285,constitutive,chr15,100926285,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100926294,constitutive,chr15,100926294,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100926329,constitutive,chr15,100926329,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100926550,ambiguous,chr15,100926550,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100926606,ambiguous,chr15,100926606,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100926829,constitutive,chr15,100926829,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100926841,constitutive,chr15,100926841,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100926873,constitutive,chr15,100926873,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100926973,constitutive,chr15,100926973,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100926976,constitutive,chr15,100926976,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100926980,constitutive,chr15,100926980,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100927023,constitutive,chr15,100927023,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100927169,ambiguous,chr15,100927169,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100927194,ME,chr15,100927194,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100927220,constitutive,chr15,100927220,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100927225,constitutive,chr15,100927225,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100927265,constitutive,chr15,100927265,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100927303,constitutive,chr15,100927303,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100927500,constitutive,chr15,100927500,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100927917,constitutive,chr15,100927917,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100927942,constitutive,chr15,100927942,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100928010,constitutive,chr15,100928010,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100928020,constitutive,chr15,100928020,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100928060,constitutive,chr15,100928060,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100928132,ambiguous,chr15,100928132,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100928203,ambiguous,chr15,100928203,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100928284,constitutive,chr15,100928284,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100928488,ambiguous,chr15,100928488,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100928506,constitutive,chr15,100928506,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100928524,ambiguous,chr15,100928524,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100928583,ambiguous,chr15,100928583,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100928595,ambiguous,chr15,100928595,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100928598,ambiguous,chr15,100928598,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100928601,ambiguous,chr15,100928601,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100928620,ambiguous,chr15,100928620,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100928626,ambiguous,chr15,100928626,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100928860,ambiguous,chr15,100928860,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100928869,ambiguous,chr15,100928869,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100928951,ambiguous,chr15,100928951,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100928957,ambiguous,chr15,100928957,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100928992,ambiguous,chr15,100928992,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100929052,ambiguous,chr15,100929052,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100929135,ambiguous,chr15,100929135,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100929227,ambiguous,chr15,100929227,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100929272,ambiguous,chr15,100929272,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100929298,ambiguous,chr15,100929298,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100929301,ambiguous,chr15,100929301,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100929306,ambiguous,chr15,100929306,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100929359,ambiguous,chr15,100929359,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100929469,ambiguous,chr15,100929469,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100929633,ambiguous,chr15,100929633,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100929824,ambiguous,chr15,100929824,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100929894,ambiguous,chr15,100929894,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100929909,ambiguous,chr15,100929909,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100930010,ambiguous,chr15,100930010,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100930104,ambiguous,chr15,100930104,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100930188,ambiguous,chr15,100930188,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100930278,ambiguous,chr15,100930278,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100930287,ambiguous,chr15,100930287,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100930290,ambiguous,chr15,100930290,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100930303,ambiguous,chr15,100930303,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100930308,ambiguous,chr15,100930308,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100930761,ambiguous,chr15,100930761,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100930914,ambiguous,chr15,100930914,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100931082,ambiguous,chr15,100931082,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100931091,constitutive,chr15,100931091,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100931250,constitutive,chr15,100931250,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100931293,ambiguous,chr15,100931293,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100931336,ambiguous,chr15,100931336,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100931350,ambiguous,chr15,100931350,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100931369,constitutive,chr15,100931369,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100931428,ambiguous,chr15,100931428,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100931456,constitutive,chr15,100931456,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100931548,constitutive,chr15,100931548,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100931626,ambiguous,chr15,100931626,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100931646,constitutive,chr15,100931646,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100931648,constitutive,chr15,100931648,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100931723,constitutive,chr15,100931723,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100931761,constitutive,chr15,100931761,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100931784,constitutive,chr15,100931784,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100931792,constitutive,chr15,100931792,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100932007,ambiguous,chr15,100932007,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100932046,constitutive,chr15,100932046,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100932054,constitutive,chr15,100932054,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100932088,constitutive,chr15,100932088,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100932134,constitutive,chr15,100932134,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100932142,constitutive,chr15,100932142,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100932194,constitutive,chr15,100932194,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100932232,constitutive,chr15,100932232,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100932237,constitutive,chr15,100932237,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100932265,constitutive,chr15,100932265,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100932548,ambiguous,chr15,100932548,LRRK1,100919327,101078257,TRUE,FALSE
chr15_100932771,ambiguous,chr15,100932771,LRRK1,100919327,101078257,TRUE,FALSE
